cistron_id,num_tus,tu_ids,num_operons,operon_ids
EG10338_RNA,1,TU0-12808[c],1,81
EG10339_RNA,2,TU0-1422[c];TU0-45271[c],1,1267
EG10340_RNA,1,TU00278[c],1,2389
EG10341_RNA,1,EG10341_RNA[c],1,2539
EG10342_RNA,2,TU0-3941[c];TU0-45271[c],1,1267
EG10343_RNA,1,TU0-13942[c],1,1038
EG10344_RNA,1,EG10344_RNA[c],1,2540
EG10345_RNA,1,TU00278[c],1,2389
EG10346_RNA,1,TU00278[c],1,2389
EG10347_RNA,3,TU0-1422[c];TU0-1423[c];TU0-45271[c],1,1267
EG10348_RNA,1,TU00135[c],1,1680
EG10349_RNA,1,TU00128[c],1,1399
EG10350_RNA,1,TU00128[c],1,1399
EG10351_RNA,2,TU0-42697[c];TU00135[c],1,1680
EG10352_RNA,1,TU00128[c],1,1399
EG10353_RNA,2,TU0-14502[c];TU00128[c],1,1399
EG10355_RNA,2,TU0-42698[c];TU00128[c],1,1399
EG10356_RNA,2,TU0-42499[c];TU00104[c],1,1639
EG10357_RNA,2,TU0-4562[c];TU00159[c],1,1740
EG10358_RNA,2,TU0-42482[c];TU0-42499[c],1,1639
EG10359_RNA,3,TU0-1281[c];TU0-1282[c];TU0-1283[c],1,83
EG10360_RNA,2,TU0-5121[c];TU00348[c],1,1410
EG10361_RNA,3,TU0-1921[c];TU0-198884[c];TU0-4001[c],1,1302
EG10362_RNA,4,TU0-42578[c];TU0-42581[c];TU0-42583[c];TU0-45179[c],1,1667
EG10363_RNA,3,TU0-42583[c];TU0-42588[c];TU0-45179[c],1,1667
EG10364_RNA,1,TU0-881[c],1,2211
EG10365_RNA,1,TU00024[c],1,2265
EG10366_RNA,3,TU0-42581[c];TU0-42583[c];TU0-45179[c],1,1667
EG10367_RNA,2,TU0-42480[c];TU0-4904[c],1,573
EG10368_RNA,2,TU0-45273[c];TU0-45274[c],1,1482
EG10369_RNA,1,TU0-2042[c],1,1554
EG10370_RNA,1,EG10370_RNA[c],1,2541
EG10371_RNA,1,TU00170[c],1,1402
EG10372_RNA,1,TU0-1201[c],1,58
EG10373_RNA,1,TU0-12794[c],1,71
EG10374_RNA,1,TU0-8802[c],1,2204
EG10375_RNA,2,TU0-14029[c];TU0-14263[c],1,1113
EG10376_RNA,2,TU0-14029[c];TU0-42479[c],1,1113
EG10377_RNA,3,TU0-14302[c];TU0-36417[c];TU00122[c],1,1308
EG10378_RNA,1,TU0-14302[c],1,1308
EG10379_RNA,2,TU0-14302[c];TU00122[c],1,1308
EG10380_RNA,3,TU0-14302[c];TU0-36417[c];TU00122[c],1,1308
EG10381_RNA,1,TU0-14302[c],1,1308
EG10382_RNA,1,TU00280[c],1,2391
EG10383_RNA,1,EG10383_RNA[c],1,2542
EG10384_RNA,2,TU0-36399[c];TU00089[c],1,1324
EG10385_RNA,1,TU0-198713[c],1,1520
EG10386_RNA,1,TU0-6649[c],1,1828
EG10387_RNA,1,TU0-198713[c],1,1520
EG10388_RNA,1,TU0-6649[c],1,1828
EG10389_RNA,2,TU0-6649[c];TU0-8001[c],1,1828
EG10390_RNA,1,TU0-14467[c],1,1388
EG10391_RNA,1,TU00030[c],1,2266
EG10392_RNA,1,TU00030[c],1,2266
EG10393_RNA,1,TU00030[c],1,2266
EG10394_RNA,1,TU00031[c],1,2267
EG10395_RNA,1,TU401[c],1,2493
EG10396_RNA,2,TU0-198704[c];TU00173[c],1,1515
EG10397_RNA,2,TU401[c];TU402[c],1,2493
EG10398_RNA,2,TU0-198704[c];TU00173[c],1,1515
EG10399_RNA,2,TU0-42700[c];TU00216[c],1,1682
EG10401_RNA,1,TU00216[c],1,1682
EG10402_RNA,1,TU00106[c],1,2298
EG10403_RNA,2,TU0-198869[c];TU0-45182[c],1,1548
EG10404_RNA,2,TU0-198869[c];TU0-45182[c],1,1548
EG10405_RNA,1,TU0-14126[c],1,1191
EG10406_RNA,1,TU0-8804[c],1,2205
EG10407_RNA,1,TU0-6409[c],1,1790
EG10408_RNA,1,TU00192[c],1,2349
EG10409_RNA,1,TU00281[c],1,2392
EG10410_RNA,1,TU00281[c],1,2392
EG10411_RNA,1,TU0-5101[c],1,1759
