gene_id,RNA ID,Essentiality_ML_surrogate,ml_surrogate_bool,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,Process,process_percent_of_mismatch
EG10650,EG10650_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10660,EG10660_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
G7842,G7842_RNA,0,False,1,True,expected_essential,False,RNA Decay,2.547770700636943
EG10691,EG10691_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11487,EG11487_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10693,EG10693_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10699,EG10699_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10703,EG10703_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10707,EG10707_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10740,EG10740_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10746,EG10746_RNA,0,False,1,True,expected_essential,False,RNA Decay,2.547770700636943
EG10756,EG10756_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10758,EG10758_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10767,EG10767_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10768,EG10768_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10769,EG10769_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10774,EG10774_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10781,EG10781_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10805,EG10805_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10808,EG10808_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10811,EG10811_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG11331,EG11331_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11321,EG11321_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11322,EG11322_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11079,EG11079_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10859,EG10859_RNA,0,False,1,True,expected_essential,False,"Metabolism, RNA Decay",0.6369426751592357
EG10862,EG10862_RNA,0,False,1,True,expected_essential,False,RNA Decay,2.547770700636943
EG10863,EG10863_RNA,0,False,1,True,expected_essential,False,RNA Decay,2.547770700636943
EG10870,EG10870_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG50001,EG50001_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG10887,EG10887_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG10889,EG10889_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG10890,EG10890_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG10891,EG10891_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG11231,EG11231_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG11232,EG11232_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG10894,EG10894_RNA,1,True,0,False,expected_nonessential,False,Transcription,1.2738853503184715
EG10895,EG10895_RNA,1,True,0,False,expected_nonessential,False,Transcription,1.2738853503184715
EG10903,EG10903_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG10908,EG10908_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG10915,EG10915_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG10944,EG10944_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10945,EG10945_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10946,EG10946_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10966,EG10966_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11508,EG11508_RNA,1,True,0,False,expected_nonessential,False,Translation,7.643312101910828
EG10979,EG10979_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10980,EG10980_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG10985,EG10985_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG12302,EG12302_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11023,EG11023_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11024,EG11024_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG11025,EG11025_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
EG11026,EG11026_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG11027,EG11027_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG11028,EG11028_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG11032,EG11032_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG11039,EG11039_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
EG10520,EG10520_RNA,0,False,1,True,expected_essential,False,Metabolism,87.26114649681529
G7501,G7501_RNA,1,True,0,False,expected_nonessential,False,Metabolism,87.26114649681529
