gene_id,RNA ID,Essentiality_ML_surrogate,ml_surrogate_bool,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match
EG10352,EG10352_RNA,0,False,0,False,expected_nonessential,True
EG10355,EG10355_RNA,0,False,0,False,expected_nonessential,True
EG10356,EG10356_RNA,0,False,0,False,expected_nonessential,True
EG10357,EG10357_RNA,0,False,0,False,expected_nonessential,True
EG10358,EG10358_RNA,0,False,0,False,expected_nonessential,True
EG11329,EG11329_RNA,0,False,0,False,expected_nonessential,True
EG11330,EG11330_RNA,0,False,0,False,expected_nonessential,True
EG10361,EG10361_RNA,0,False,0,False,expected_nonessential,True
EG50009,EG50009_RNA,0,False,0,False,expected_nonessential,True
EG11490,EG11490_RNA,0,False,0,False,expected_nonessential,True
G6786,G6786_RNA,0,False,0,False,expected_nonessential,True
EG10362,EG10362_RNA,0,False,0,False,expected_nonessential,True
EG10363,EG10363_RNA,0,False,0,False,expected_nonessential,True
EG11698,EG11698_RNA,0,False,0,False,expected_nonessential,True
EG12148,EG12148_RNA,0,False,0,False,expected_nonessential,True
EG10366,EG10366_RNA,0,False,0,False,expected_nonessential,True
EG10367,EG10367_RNA,0,False,1,True,expected_essential,False
EG11175,EG11175_RNA,0,False,0,False,expected_nonessential,True
EG10016,EG10016_RNA,0,False,0,False,expected_nonessential,True
EG11176,EG11176_RNA,0,False,0,False,expected_nonessential,True
EG12419,EG12419_RNA,0,False,0,False,expected_nonessential,True
G7128,G7128_RNA,0,False,0,False,expected_nonessential,True
EG11583,EG11583_RNA,0,False,0,False,expected_nonessential,True
EG11810,EG11810_RNA,0,False,0,False,expected_nonessential,True
EG11442,EG11442_RNA,0,False,0,False,expected_nonessential,True
EG10372,EG10372_RNA,0,False,0,False,expected_nonessential,True
G6539,G6539_RNA,0,False,0,False,expected_nonessential,True
EG12272,EG12272_RNA,0,False,0,False,expected_nonessential,True
G7542,G7542_RNA,0,False,0,False,expected_nonessential,True
EG20080,EG20080_RNA,0,False,0,False,expected_nonessential,True
G7545,G7545_RNA,0,False,0,False,expected_nonessential,True
G7544,G7544_RNA,0,False,0,False,expected_nonessential,True
G0-8601,G0-8601_RNA,0,False,0,False,expected_nonessential,True
EG11904,EG11904_RNA,0,False,0,False,expected_nonessential,True
EG11981,EG11981_RNA,0,False,0,False,expected_nonessential,True
EG10379,EG10379_RNA,0,False,0,False,expected_nonessential,True
EG12957,EG12957_RNA,0,False,0,False,expected_nonessential,True
EG11553,EG11553_RNA,0,False,1,True,expected_essential,False
EG10382,EG10382_RNA,0,False,0,False,expected_nonessential,True
EG11198,EG11198_RNA,0,False,1,True,expected_essential,False
EG10383,EG10383_RNA,1,True,0,False,expected_nonessential,False
EG10386,EG10386_RNA,0,False,0,False,expected_nonessential,True
EG10388,EG10388_RNA,0,False,0,False,expected_nonessential,True
EG10389,EG10389_RNA,0,False,0,False,expected_nonessential,True
EG10390,EG10390_RNA,1,True,0,False,expected_nonessential,False
G6891,G6891_RNA,0,False,0,False,expected_nonessential,True
G6099,G6099_RNA,0,False,0,False,expected_nonessential,True
EG10391,EG10391_RNA,0,False,0,False,expected_nonessential,True
EG10392,EG10392_RNA,0,False,0,False,expected_nonessential,True
EG10393,EG10393_RNA,0,False,0,False,expected_nonessential,True
EG10394,EG10394_RNA,0,False,0,False,expected_nonessential,True
EG10395,EG10395_RNA,0,False,0,False,expected_nonessential,True
EG10396,EG10396_RNA,0,False,0,False,expected_nonessential,True
EG10398,EG10398_RNA,0,False,0,False,expected_nonessential,True
EG10399,EG10399_RNA,0,False,0,False,expected_nonessential,True
EG11517,EG11517_RNA,0,False,0,False,expected_nonessential,True
EG10402,EG10402_RNA,0,False,0,False,expected_nonessential,True
EG10403,EG10403_RNA,0,False,0,False,expected_nonessential,True
EG10404,EG10404_RNA,0,False,0,False,expected_nonessential,True
G6359,G6359_RNA,0,False,0,False,expected_nonessential,True
EG12661,EG12661_RNA,0,False,0,False,expected_nonessential,True
EG12662,EG12662_RNA,0,False,0,False,expected_nonessential,True
EG12663,EG12663_RNA,0,False,0,False,expected_nonessential,True
EG10405,EG10405_RNA,0,False,0,False,expected_nonessential,True
EG10407,EG10407_RNA,1,True,1,True,expected_essential,True
G6283,G6283_RNA,0,False,0,False,expected_nonessential,True
G6278,G6278_RNA,0,False,0,False,expected_nonessential,True
EG10408,EG10408_RNA,0,False,0,False,expected_nonessential,True
EG10409,EG10409_RNA,1,True,1,True,expected_essential,True
EG10410,EG10410_RNA,1,True,1,True,expected_essential,True
EG11736,EG11736_RNA,0,False,0,False,expected_nonessential,True
EG10965,EG10965_RNA,1,True,1,True,expected_essential,True
EG10411,EG10411_RNA,0,False,0,False,expected_nonessential,True
EG12629,EG12629_RNA,0,False,0,False,expected_nonessential,True
EG12563,EG12563_RNA,0,False,0,False,expected_nonessential,True
EG10412,EG10412_RNA,0,False,0,False,expected_nonessential,True
EG11699,EG11699_RNA,0,False,0,False,expected_nonessential,True
EG12296,EG12296_RNA,0,False,0,False,expected_nonessential,True
EG10413,EG10413_RNA,0,False,0,False,expected_nonessential,True
EG20091,EG20091_RNA,1,True,0,False,expected_nonessential,False
EG10414,EG10414_RNA,0,False,0,False,expected_nonessential,True
EG10418,EG10418_RNA,0,False,0,False,expected_nonessential,True
EG10419,EG10419_RNA,0,False,0,False,expected_nonessential,True
G6429,G6429_RNA,0,False,0,False,expected_nonessential,True
G6430,G6430_RNA,0,False,0,False,expected_nonessential,True
G6431,G6431_RNA,0,False,0,False,expected_nonessential,True
G6432,G6432_RNA,0,False,0,False,expected_nonessential,True
EG11102,EG11102_RNA,0,False,0,False,expected_nonessential,True
EG12882,EG12882_RNA,0,False,0,False,expected_nonessential,True
EG10420,EG10420_RNA,1,True,1,True,expected_essential,True
EG10421,EG10421_RNA,0,False,1,True,expected_essential,False
EG10422,EG10422_RNA,0,False,0,False,expected_nonessential,True
G7502,G7502_RNA,0,False,0,False,expected_nonessential,True
EG10973,EG10973_RNA,0,False,0,False,expected_nonessential,True
G7055,G7055_RNA,0,False,0,False,expected_nonessential,True
EG10425,EG10425_RNA,0,False,0,False,expected_nonessential,True
EG10427,EG10427_RNA,0,False,0,False,expected_nonessential,True
EG10428,EG10428_RNA,0,False,1,True,expected_essential,False
EG10429,EG10429_RNA,0,False,1,True,expected_essential,False
EG10430,EG10430_RNA,0,False,0,False,expected_nonessential,True
EG11543,EG11543_RNA,0,False,0,False,expected_nonessential,True
EG12189,EG12189_RNA,0,False,0,False,expected_nonessential,True
EG11485,EG11485_RNA,0,False,0,False,expected_nonessential,True
EG10432,EG10432_RNA,0,False,0,False,expected_nonessential,True
EG11836,EG11836_RNA,0,False,0,False,expected_nonessential,True
EG10444,EG10444_RNA,1,True,0,False,expected_nonessential,False
EG10445,EG10445_RNA,1,True,1,True,expected_essential,True
EG10446,EG10446_RNA,1,True,1,True,expected_essential,True
EG10447,EG10447_RNA,1,True,1,True,expected_essential,True
