project,variant,label,lineage_seed,last_generation
gene_ko_441imported_2seeds,141,KO: EG11428,101,8
gene_ko_441imported_2seeds,142,KO: G6096,100,8
gene_ko_441imported_2seeds,142,KO: G6096,101,8
gene_ko_441imported_2seeds,143,KO: EG11631,100,8
gene_ko_441imported_2seeds,143,KO: EG11631,101,8
gene_ko_441imported_2seeds,144,KO: EG10161,100,8
gene_ko_441imported_2seeds,144,KO: EG10161,101,8
gene_ko_441imported_2seeds,145,KO: EG10877,100,5
gene_ko_441imported_2seeds,145,KO: EG10877,101,5
gene_ko_441imported_2seeds,146,KO: EG10012,100,8
gene_ko_441imported_2seeds,146,KO: EG10012,101,8
gene_ko_441imported_2seeds,147,KO: EG10066,100,8
gene_ko_441imported_2seeds,147,KO: EG10066,101,8
gene_ko_441imported_2seeds,148,KO: EG11082,100,8
gene_ko_441imported_2seeds,148,KO: EG11082,101,8
gene_ko_441imported_2seeds,149,KO: EG12302,100,8
gene_ko_441imported_2seeds,149,KO: EG12302,101,8
gene_ko_441imported_2seeds,150,KO: G6711,100,8
gene_ko_441imported_2seeds,150,KO: G6711,101,8
gene_ko_441imported_2seeds,151,KO: EG10205,100,5
gene_ko_441imported_2seeds,151,KO: EG10205,101,6
gene_ko_441imported_2seeds,152,KO: EG11630,100,8
gene_ko_441imported_2seeds,152,KO: EG11630,101,8
gene_ko_441imported_2seeds,153,KO: EG10119,100,8
gene_ko_441imported_2seeds,153,KO: EG10119,101,8
gene_ko_441imported_2seeds,154,KO: EG10792,100,8
gene_ko_441imported_2seeds,154,KO: EG10792,101,8
gene_ko_441imported_2seeds,155,KO: EG10526,100,8
gene_ko_441imported_2seeds,155,KO: EG10526,101,8
gene_ko_441imported_2seeds,156,KO: EG10056,100,8
gene_ko_441imported_2seeds,156,KO: EG10056,101,8
gene_ko_441imported_2seeds,157,KO: EG10901,100,3
gene_ko_441imported_2seeds,157,KO: EG10901,101,4
gene_ko_441imported_2seeds,158,KO: EG10094,100,7
gene_ko_441imported_2seeds,158,KO: EG10094,101,8
gene_ko_441imported_2seeds,159,KO: G6879,100,6
gene_ko_441imported_2seeds,159,KO: G6879,101,6
gene_ko_441imported_2seeds,160,KO: EG10409,100,5
gene_ko_441imported_2seeds,160,KO: EG10409,101,6
gene_ko_441imported_2seeds,161,KO: EG10999,100,6
gene_ko_441imported_2seeds,161,KO: EG10999,101,6
gene_ko_441imported_2seeds,162,KO: EG11351,100,8
gene_ko_441imported_2seeds,162,KO: EG11351,101,8
gene_ko_441imported_2seeds,163,KO: EG10565,100,8
gene_ko_441imported_2seeds,163,KO: EG10565,101,8
gene_ko_441imported_2seeds,164,KO: EG11102,100,8
gene_ko_441imported_2seeds,164,KO: EG11102,101,8
gene_ko_441imported_2seeds,165,KO: EG11971,100,8
gene_ko_441imported_2seeds,165,KO: EG11971,101,8
gene_ko_441imported_2seeds,166,KO: EG11318,100,8
gene_ko_441imported_2seeds,166,KO: EG11318,101,8
gene_ko_441imported_2seeds,167,KO: G6517,100,8
gene_ko_441imported_2seeds,167,KO: G6517,101,8
gene_ko_441imported_2seeds,168,KO: EG10893,100,3
gene_ko_441imported_2seeds,168,KO: EG10893,101,4
gene_ko_441imported_2seeds,169,KO: EG10186,100,8
gene_ko_441imported_2seeds,169,KO: EG10186,101,8
gene_ko_441imported_2seeds,170,KO: EG11032,100,8
gene_ko_441imported_2seeds,170,KO: EG11032,101,8
gene_ko_441imported_2seeds,171,KO: EG10117,100,8
gene_ko_441imported_2seeds,171,KO: EG10117,101,8
gene_ko_441imported_2seeds,172,KO: EG10096,100,8
gene_ko_441imported_2seeds,172,KO: EG10096,101,8
gene_ko_441imported_2seeds,173,KO: G6943,100,8
gene_ko_441imported_2seeds,173,KO: G6943,101,8
gene_ko_441imported_2seeds,174,KO: EG11957,100,8
gene_ko_441imported_2seeds,174,KO: EG11957,101,8
gene_ko_441imported_2seeds,175,KO: G7454,100,8
gene_ko_441imported_2seeds,175,KO: G7454,101,8
gene_ko_441imported_2seeds,176,KO: EG11810,100,8
gene_ko_441imported_2seeds,176,KO: EG11810,101,8
gene_ko_441imported_2seeds,177,KO: G7579,100,8
gene_ko_441imported_2seeds,177,KO: G7579,101,8
gene_ko_441imported_2seeds,178,KO: G7742,100,8
gene_ko_441imported_2seeds,178,KO: G7742,101,8
gene_ko_441imported_2seeds,179,KO: EG10076,100,8
gene_ko_441imported_2seeds,179,KO: EG10076,101,8
gene_ko_441imported_2seeds,180,KO: EG10104,100,8
gene_ko_441imported_2seeds,180,KO: EG10104,101,8
gene_ko_441imported_2seeds,181,KO: EG11866,100,8
gene_ko_441imported_2seeds,181,KO: EG11866,101,8
gene_ko_441imported_2seeds,182,KO: G7663,100,8
gene_ko_441imported_2seeds,182,KO: G7663,101,8
gene_ko_441imported_2seeds,183,KO: EG10465,100,8
gene_ko_441imported_2seeds,183,KO: EG10465,101,8
gene_ko_441imported_2seeds,184,KO: EG10772,100,8
gene_ko_441imported_2seeds,184,KO: EG10772,101,8
gene_ko_441imported_2seeds,185,KO: EG12319,100,8
gene_ko_441imported_2seeds,185,KO: EG12319,101,8
gene_ko_441imported_2seeds,186,KO: G6269,100,8
gene_ko_441imported_2seeds,186,KO: G6269,101,8
gene_ko_441imported_2seeds,187,KO: G6364,100,8
gene_ko_441imported_2seeds,187,KO: G6364,101,8
gene_ko_441imported_2seeds,188,KO: G7723,100,8
gene_ko_441imported_2seeds,188,KO: G7723,101,8
gene_ko_441imported_2seeds,189,KO: EG10888,100,5
gene_ko_441imported_2seeds,189,KO: EG10888,101,6
gene_ko_441imported_2seeds,190,KO: EG10135,100,8
gene_ko_441imported_2seeds,190,KO: EG10135,101,8
gene_ko_441imported_2seeds,191,KO: EG10886,100,4
gene_ko_441imported_2seeds,191,KO: EG10886,101,5
gene_ko_441imported_2seeds,192,KO: EG10209,100,8
gene_ko_441imported_2seeds,192,KO: EG10209,101,8
gene_ko_441imported_2seeds,193,KO: EG10061,100,8
gene_ko_441imported_2seeds,193,KO: EG10061,101,8
gene_ko_441imported_2seeds,194,KO: EG10148,100,8
gene_ko_441imported_2seeds,194,KO: EG10148,101,8
gene_ko_441imported_2seeds,195,KO: EG10881,100,5
gene_ko_441imported_2seeds,195,KO: EG10881,101,5
gene_ko_441imported_2seeds,196,KO: EG11539,100,8
gene_ko_441imported_2seeds,196,KO: EG11539,101,8
