config_group,original_variant,new_variant,lineage_seed,resume_generations,initial_state_file
resume_add_5_to8,206,176,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=206/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,206,176,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=206/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,220,187,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=220/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,220,187,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=220/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,96,82,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=96/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,96,82,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=96/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,38,33,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=38/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,38,33,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=38/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,69,58,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=69/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,69,58,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=69/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,288,237,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=288/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,288,237,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=288/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,30,26,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=30/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,30,26,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=30/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,57,48,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=57/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,57,48,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=57/seed=100/generation=3/agent_id=000/daughter_state_1.json
