label,project,tu_id,n_genes,n_matched_genes,growth_next_h,zero_growth,essentiality,match
KO: TU0-14496[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14496,1,2,0.8062881446736,False,0,True
KO: TU0-14506[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14506,1,2,0.80176162368924,False,0,True
KO: TU0-14509[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14509,1,2,0.74767481063262,False,0,True
KO: TU0-14511[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14511,1,2,0.84075774339402,False,1,False
KO: TU0-14513[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14513,1,2,0.78929373997638,False,0,True
KO: TU0-14521[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14521,2,4,0.80788817079144,False,0,True
KO: TU0-14536[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14536,2,4,0.79206233898798,False,0,True
KO: TU0-14537[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14537,3,6,0.82161417716406,False,0,True
KO: TU0-14538[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14538,5,10,0.8092673004970801,False,0,True
KO: TU0-14547[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14547,4,8,0.84302922171636,False,0,True
KO: TU0-14571[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14571,2,2,0.78973584240492,False,0,True
KO: TU0-14629[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14629,1,2,0.83920936092822,False,1,False
KO: TU0-14634[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14634,1,2,0.0,True,1,True
KO: TU0-14640[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14640,1,2,0.86069130477894,False,0,True
KO: TU0-14642[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14642,1,2,0.8273917515375,False,0,True
KO: TU0-14654[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14654,1,2,0.0,True,1,True
KO: TU0-14658[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14658,5,10,0.0,True,1,True
KO: TU0-14693[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14693,2,4,0.85762842368778,False,0,True
KO: TU0-14787[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14787,1,2,0.7842429531647999,False,0,True
KO: TU0-14792[c],gene_knockout_TU_ID_rest_list_rerun,TU0-14792,3,6,0.83951761501998,False,0,True
KO: TU0-1547[c],gene_knockout_TU_ID_rest_list_rerun,TU0-1547,6,2,0.8377466614938,False,0,True
KO: TU0-1601[c],gene_knockout_TU_ID_rest_list_rerun,TU0-1601,5,8,0.81420910376508,False,0,True
KO: TU0-1881[c],gene_knockout_TU_ID_rest_list_rerun,TU0-1881,4,2,0.80772722414856,False,0,True
KO: TU0-1962[c],gene_knockout_TU_ID_rest_list_rerun,TU0-1962,4,6,0.8526630069577801,False,0,True
KO: TU0-198711[c],gene_knockout_TU_ID_rest_list_rerun,TU0-198711,2,2,0.77001796220454,False,0,True
KO: TU0-198714[c],gene_knockout_TU_ID_rest_list_rerun,TU0-198714,4,8,0.8394172006445999,False,0,True
KO: TU0-198743[c],gene_knockout_TU_ID_rest_list_rerun,TU0-198743,1,2,0.85762842368778,False,0,True
KO: TU0-198746[c],gene_knockout_TU_ID_rest_list_rerun,TU0-198746,11,22,0.81003903702354,False,0,True
KO: TU0-198747[c],gene_knockout_TU_ID_rest_list_rerun,TU0-198747,8,16,0.0,True,1,True
KO: TU0-198873[c],gene_knockout_TU_ID_rest_list_rerun,TU0-198873,2,4,0.8378883909050401,False,0,True
KO: TU0-1[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-1,5,8,0.7664585537188799,False,1,False
KO: TU0-2302[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-2302,3,6,0.8329765354092,False,0,True
KO: TU0-3123[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-3123,2,2,0.82878491811366,False,0,True
KO: TU0-3501[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-3501,1,2,0.81204108541416,False,0,True
KO: TU0-3581[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-3581,1,2,0.8586241545326401,False,0,True
KO: TU0-3602[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-3602,4,8,0.82532874373902,False,0,True
KO: TU0-3645[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-3645,7,2,0.8267089193496,False,0,True
KO: TU0-3862[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-3862,1,2,0.83522046824802,False,0,True
KO: TU0-3901[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-3901,1,2,0.87867530542044,False,1,False
KO: TU0-4181[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-4181,4,6,0.8270875926030601,False,0,True
KO: TU0-42451[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42451,3,6,0.8246574837556201,False,0,True
KO: TU0-42461[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42461,1,2,0.8156680566327,False,0,True
KO: TU0-42478[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42478,5,8,0.0,True,1,True
KO: TU0-42482[c],gene_knockout_TU_ID_rest_list_rerun2,TU0-42482,1,2,0.79978424761926,False,0,True
