knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match
EG11819,gene_knockout_TU_ID_rest_list_rerun,TU0-13182[c],False,False,True
EG11121,gene_knockout_TU_ID_rest_list_rerun,TU0-13189[c],False,False,True
G6643,gene_knockout_TU_ID_rest_list_rerun,TU0-13209[c],False,False,True
G6662,gene_knockout_TU_ID_rest_list_rerun,TU0-13215[c],False,False,True
EG10030,gene_knockout_TU_ID_rest_list_rerun,TU0-13350[c],False,False,True
EG10076,gene_knockout_TU_ID_rest_list_rerun,TU0-13373[c],False,True,False
EG10803,gene_knockout_TU_ID_rest_list_rerun,TU0-13440[c],False,False,True
EG10071,gene_knockout_TU_ID_rest_list_rerun,TU0-13444[c],True,True,True
EG10161,gene_knockout_TU_ID_rest_list_rerun,TU0-13499[c],False,False,True
EG10162,gene_knockout_TU_ID_rest_list_rerun,TU0-13499[c],False,False,True
G7138,gene_knockout_TU_ID_rest_list_rerun,TU0-13514[c],False,False,True
EG10586,gene_knockout_TU_ID_rest_list_rerun,TU0-13519[c],True,True,True
EG11375,gene_knockout_TU_ID_rest_list_rerun,TU0-13539[c],False,True,False
EG12040,gene_knockout_TU_ID_rest_list_rerun,TU0-13552[c],False,False,True
G7158,gene_knockout_TU_ID_rest_list_rerun,TU0-13565[c],False,False,True
G7185,gene_knockout_TU_ID_rest_list_rerun,TU0-13580[c],False,False,True
EG10075,gene_knockout_TU_ID_rest_list_rerun,TU0-13593[c],True,True,True
EG50006,gene_knockout_TU_ID_rest_list_rerun,TU0-13627[c],False,False,True
G7293,gene_knockout_TU_ID_rest_list_rerun,TU0-13637[c],False,False,True
EG10208,gene_knockout_TU_ID_rest_list_rerun,TU0-13642[c],True,True,True
EG10650,gene_knockout_TU_ID_rest_list_rerun,TU0-13651[c],True,False,False
G7406,gene_knockout_TU_ID_rest_list_rerun,TU0-13713[c],False,False,True
G7449,gene_knockout_TU_ID_rest_list_rerun,TU0-13736[c],False,False,True
G7454,gene_knockout_TU_ID_rest_list_rerun,TU0-13741[c],False,False,True
G7501,gene_knockout_TU_ID_rest_list_rerun,TU0-13783[c],False,False,True
G7507,gene_knockout_TU_ID_rest_list_rerun,TU0-13785[c],False,False,True
EG11333,gene_knockout_TU_ID_rest_list_rerun,TU0-13792[c],False,False,True
G7530,gene_knockout_TU_ID_rest_list_rerun,TU0-13807[c],False,False,True
G7565,gene_knockout_TU_ID_rest_list_rerun,TU0-13823[c],False,False,True
EG12633,gene_knockout_TU_ID_rest_list_rerun,TU0-13837[c],False,False,True
G7579,gene_knockout_TU_ID_rest_list_rerun,TU0-13837[c],False,False,True
EG10465,gene_knockout_TU_ID_rest_list_rerun,TU0-13839[c],False,False,True
EG11673,gene_knockout_TU_ID_rest_list_rerun,TU0-13848[c],False,True,False
EG50011,gene_knockout_TU_ID_rest_list_rerun,TU0-13883[c],False,False,True
EG10017,gene_knockout_TU_ID_rest_list_rerun,TU0-13885[c],False,True,False
G7742,gene_knockout_TU_ID_rest_list_rerun,TU0-13929[c],False,False,True
EG10088,gene_knockout_TU_ID_rest_list_rerun,TU0-13935[c],True,False,False
EG10107,gene_knockout_TU_ID_rest_list_rerun,TU0-13984[c],False,False,True
EG10965,gene_knockout_TU_ID_rest_list_rerun,TU0-14004[c],True,True,True
EG20049,gene_knockout_TU_ID_rest_list_rerun,TU0-14018[c],False,False,True
EG10209,gene_knockout_TU_ID_rest_list_rerun,TU0-14042[c],True,False,False
EG11470,gene_knockout_TU_ID_rest_list_rerun,TU0-14049[c],False,False,True
EG11850,gene_knockout_TU_ID_rest_list_rerun,TU0-14070[c],False,False,True
EG10123,gene_knockout_TU_ID_rest_list_rerun,TU0-14099[c],False,False,True
EG10001,gene_knockout_TU_ID_rest_list_rerun,TU0-14120[c],False,False,True
EG11934,gene_knockout_TU_ID_rest_list_rerun,TU0-14121[c],False,False,True
G7842,gene_knockout_TU_ID_rest_list_rerun,TU0-14151[c],False,True,False
G7865,gene_knockout_TU_ID_rest_list_rerun,TU0-14158[c],False,False,True
EG12504,gene_knockout_TU_ID_rest_list_rerun,TU0-14159[c],False,False,True
G7868,gene_knockout_TU_ID_rest_list_rerun,TU0-14161[c],False,False,True
EG10043,gene_knockout_TU_ID_rest_list_rerun,TU0-14162[c],False,False,True
G7888,gene_knockout_TU_ID_rest_list_rerun,TU0-14176[c],False,True,False
G7889,gene_knockout_TU_ID_rest_list_rerun,TU0-14176[c],False,True,False
G7911,gene_knockout_TU_ID_rest_list_rerun,TU0-14192[c],False,False,True
EG11335,gene_knockout_TU_ID_rest_list_rerun,TU0-14225[c],False,False,True
EG10080,gene_knockout_TU_ID_rest_list_rerun,TU0-14254[c],False,False,True
EG10709,gene_knockout_TU_ID_rest_list_rerun,TU0-14257[c],True,True,True
EG10710,gene_knockout_TU_ID_rest_list_rerun,TU0-14257[c],True,True,True
EG11001,gene_knockout_TU_ID_rest_list_rerun,TU0-14257[c],True,True,True
G7662,gene_knockout_TU_ID_rest_list_rerun,TU0-14290[c],False,False,True
G7663,gene_knockout_TU_ID_rest_list_rerun,TU0-14291[c],False,True,False
G7664,gene_knockout_TU_ID_rest_list_rerun,TU0-14291[c],False,False,True
G7665,gene_knockout_TU_ID_rest_list_rerun,TU0-14291[c],False,True,False
G7423,gene_knockout_TU_ID_rest_list_rerun,TU0-14313[c],False,True,False
EG10004,gene_knockout_TU_ID_rest_list_rerun,TU0-14356[c],False,True,False
G0-10441,gene_knockout_TU_ID_rest_list_rerun,TU0-14366[c],False,False,True
EG10492,gene_knockout_TU_ID_rest_list_rerun,TU0-14394[c],False,True,False
EG10164,gene_knockout_TU_ID_rest_list_rerun,TU0-14396[c],False,False,True
EG10206,gene_knockout_TU_ID_rest_list_rerun,TU0-14399[c],True,False,False
EG10007,gene_knockout_TU_ID_rest_list_rerun,TU0-14415[c],False,False,True
EG10629,gene_knockout_TU_ID_rest_list_rerun,TU0-14417[c],False,False,True
G7826,gene_knockout_TU_ID_rest_list_rerun,TU0-14431[c],False,False,True
EG12286,gene_knockout_TU_ID_rest_list_rerun,TU0-14454[c],False,False,True
EG11630,gene_knockout_TU_ID_rest_list_rerun,TU0-14459[c],False,False,True
EG11631,gene_knockout_TU_ID_rest_list_rerun,TU0-14459[c],False,False,True
EG11632,gene_knockout_TU_ID_rest_list_rerun,TU0-14459[c],False,False,True
EG10390,gene_knockout_TU_ID_rest_list_rerun,TU0-14467[c],True,False,False
