knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match,gene_symbol,mygene_found,mygene_name,entrezgene,n_go_terms,go_terms
EG10408,gene_knockout_TU_ID_rest_list_rerun2,TU00192[c],True,False,False,glyA,True,serine hydroxymethyltransferase,947022,17,L-allo-threonine aldolase activity; L-serine biosynthetic process; L-serine catabolic process; catalytic activity; cytoplasm; cytosol; glycine biosynthetic process; glycine catabolic process; glycine hydroxymethyltransferase activity; identical protein binding; membrane; protein binding; protein homodimerization activity; pyridoxal phosphate binding; tetrahydrofolate interconversion; tetrahydrofolate metabolic process; zinc ion binding
EG10444,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False,hisA,True,1-(5-phosphoribosyl)-5-,946521,5,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity; DNA damage response; L-histidine biosynthetic process; cytoplasm; cytosol
EG10448,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False,hisF,True,imidazole glycerol phosphate synthase subunit HisF,946516,6,L-histidine biosynthetic process; cytoplasm; cytosol; imidazoleglycerol-phosphate synthase activity; imidazoleglycerol-phosphate synthase complex; protein binding
EG10449,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False,hisG,True,ATP phosphoribosyltransferase,946549,5,ATP phosphoribosyltransferase activity; L-histidine biosynthetic process; cytoplasm; cytosol; magnesium ion binding
EG10450,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False,hisH,True,imidazole glycerol phosphate synthase subunit HisH,946544,7,L-histidine biosynthetic process; cytoplasm; glutaminase activity; imidazoleglycerol-phosphate synthase activity; imidazoleglycerol-phosphate synthase complex; pentosyltransferase activity; protein binding
EG10451,gene_knockout_TU_ID_rest_list_rerun,TU0-198747[c],True,False,False,hisI,True,putative bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase,946515,5,L-histidine biosynthetic process; cytoplasm; cytosol; phosphoribosyl-AMP cyclohydrolase activity; phosphoribosyl-ATP diphosphatase activity
EG10492,gene_knockout_TU_ID_rest_list_rerun,TU0-14394[c],False,True,False,ileS,True,isoleucine--tRNA ligase,944761,13,ATP binding; aminoacyl-tRNA deacylase activity; aminoacyl-tRNA ligase activity; aminoacyl-tRNA metabolism involved in translational fidelity; cytoplasm; cytosol; isoleucine-tRNA ligase activity; isoleucyl-tRNA aminoacylation; nucleotide binding; protein binding; tRNA aminoacylation for protein translation; tRNA binding; zinc ion binding
EG10496,gene_knockout_TU_ID_rest_list_rerun2,TU524[c],False,True,False,ilvD,True,dihydroxy-acid dehydratase,948277,10,"2 iron, 2 sulfur cluster binding; 4 iron, 4 sulfur cluster binding; L-valine biosynthetic process; branched-chain amino acid biosynthetic process; catalytic activity; cytosol; dihydroxy-acid dehydratase activity; hydro-lyase activity; iron-sulfur cluster binding; magnesium ion binding"
EG10497,gene_knockout_TU_ID_rest_list_rerun2,TU524[c],False,True,False,ilvE,True,branched-chain-amino-acid aminotransferase,948278,12,L-aspartate biosynthetic process; L-isoleucine:2-oxoglutarate transaminase activity; L-leucine biosynthetic process; L-leucine:2-oxoglutarate transaminase activity; L-valine biosynthetic process; L-valine:2-oxoglutarate transaminase activity; branched-chain amino acid metabolic process; branched-chain-amino-acid:2-oxoglutarate transaminase activity; carboxylic acid biosynthetic process; catalytic activity; cytosol; identical protein binding
EG10520,gene_knockout_TU_ID_rest_list_rerun2,TU0-7163[c],False,True,False,waaA,True,KDO transferase,949048,8,Kdo transferase activity; Kdo2-lipid A biosynthetic process; glycosyltransferase activity; lipid A biosynthetic process; lipopolysaccharide core region biosynthetic process; membrane; plasma membrane; transferase activity
EG10532,gene_knockout_TU_ID_rest_list_rerun,TU0-13010[c],False,True,False,leuS,True,leucine--tRNA ligase,947497,11,ATP binding; aminoacyl-tRNA deacylase activity; aminoacyl-tRNA ligase activity; aminoacyl-tRNA metabolism involved in translational fidelity; cytoplasm; cytosol; leucine-tRNA ligase activity; leucyl-tRNA aminoacylation; nucleotide binding; protein binding; tRNA aminoacylation for protein translation
EG10549,gene_knockout_3_round_test,EG10549,True,False,False,lysA,True,diaminopimelate decarboxylase,947313,7,L-lysine biosynthetic process; carboxy-lyase activity; catalytic activity; diaminopimelate decarboxylase activity; protein binding; protein homodimerization activity; pyridoxal phosphate binding
EG10581,gene_knockout_TU_ID_rest_list_rerun2,TU0-5061[c],True,False,False,metA,True,homoserine O-succinyltransferase,948513,4,cytoplasm; homoserine O-acetyltransferase activity; homoserine O-succinyltransferase activity; protein homodimerization activity
EG10585,gene_knockout_TU_ID_rest_list_rerun2,TU00218[c],False,True,False,metF,True,"5,10-methylenetetrahydrofolate reductase",948432,9,FAD binding; L-methionine biosynthetic process; L-methionine metabolic process; cytosol; methylenetetrahydrofolate reductase (NADH) activity; methylenetetrahydrofolate reductase [NAD(P)H] activity; protein-containing complex; protein-folding chaperone binding; tetrahydrofolate interconversion
EG10613,gene_knockout_TU_ID_rest_list_rerun,TU0-13087[c],False,True,False,msbA,True,ATP-binding lipopolysaccharide transport protein,945530,16,ABC-type transporter activity; ABC-type xenobiotic transporter activity; ATP binding; ATP hydrolysis activity; ATP-binding cassette (ABC) transporter complex; ATPase-coupled lipid transmembrane transporter activity; identical protein binding; lipid binding; lipid translocation; lipid transport; lipopolysaccharide floppase activity; lipopolysaccharide transport; membrane; plasma membrane; transmembrane transport; xenobiotic transport
EG10650,gene_knockout_TU_ID_rest_list_rerun,TU0-13651[c],True,False,False,ndk,True,nucleoside diphosphate kinase,945611,9,ATP binding; CTP biosynthetic process; GTP biosynthetic process; UTP biosynthetic process; cytoplasm; cytosol; nucleoside diphosphate kinase activity; nucleoside triphosphate biosynthetic process; protein binding
EG10707,gene_knockout_p_list,EG10707,True,False,False,pheA,True,fused chorismate mutase/prephenate dehydratase,947081,9,L-phenylalanine biosynthetic process; L-tyrosine biosynthetic process; carboxylic acid metabolic process; chorismate metabolic process; chorismate mutase activity; cytoplasm; hydro-lyase activity; prephenate dehydratase activity; protein homodimerization activity
EG10769,gene_knockout_TU_ID_rest_list_rerun2,TU0-8493[c],True,False,False,proC,True,pyrroline-5-carboxylate reductase,945034,6,L-proline biosynthetic process; cytoplasm; cytosol; identical protein binding; oxidoreductase activity; pyrroline-5-carboxylate reductase activity
EG10794,gene_knockout_TU_ID_rest_list_rerun2,TU00444[c],False,True,False,purF,True,amidophosphoribosyltransferase,946794,11,'de novo' IMP biosynthetic process; L-glutamine metabolic process; amidophosphoribosyltransferase activity; cytoplasm; cytosol; glycosyltransferase activity; guanosine tetraphosphate binding; identical protein binding; magnesium ion binding; purine nucleobase biosynthetic process; purine nucleotide biosynthetic process
EG10805,gene_knockout_TU_ID_rest_list_rerun2,TU00484[c],True,False,False,pyrB,True,aspartate carbamoyltransferase catalytic subunit,948767,13,'de novo' UMP biosynthetic process; 'de novo' pyrimidine nucleobase biosynthetic process; L-glutamine metabolic process; amino acid binding; amino acid metabolic process; aspartate carbamoyltransferase activity; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; carboxyl- or carbamoyltransferase activity; cytoplasm; cytosol; identical protein binding; protein binding; protein homotrimerization
