go_term,gene_count,percentage
GTP biosynthetic process,1,1.0638297872340425
GTP cyclohydrolase I activity,1,1.0638297872340425
Gram-negative-bacterium-type cell wall biogenesis,1,1.0638297872340425
Kdo transferase activity,1,1.0638297872340425
Kdo2-lipid A biosynthetic process,1,1.0638297872340425
ribosomal small subunit biogenesis,1,1.0638297872340425
3'-5'-RNA exonuclease activity,1,1.0638297872340425
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity,1,1.0638297872340425
shikimate kinase activity,1,1.0638297872340425
single-stranded DNA 3'-5' DNA exonuclease activity,1,1.0638297872340425
siroheme biosynthetic process,1,1.0638297872340425
sirohydrochlorin ferrochelatase activity,1,1.0638297872340425
small molecule binding,1,1.0638297872340425
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity",1,1.0638297872340425
"2 iron, 2 sulfur cluster binding",1,1.0638297872340425
1-deoxy-D-xylulose-5-phosphate synthase activity,1,1.0638297872340425
sulfate adenylyltransferase complex (ATP),1,1.0638297872340425
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity,1,1.0638297872340425
"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)",1,1.0638297872340425
'de novo' NAD+ biosynthetic process from L-aspartate,1,1.0638297872340425
'de novo' L-methionine biosynthetic process,1,1.0638297872340425
'de novo' IMP biosynthetic process,1,1.0638297872340425
