generation_reconstructed,start_time,end_time,n_points,growth_mean,dry_mass_start,dry_mass_end,fold_change_mass,log_fold_change_mass,project,variant,lineage_seed,label,gene_id,run_type,step_scale
1,0.0,4060.0,204,0.0002480862883159398,266.9764925372041,736.3120278789243,2.757965770249666,1.0144933682171036,gene_ko_non_metabolic_seed100,20,100,KO: EG10054,EG10054,KO,1.0
2,4068.0,6688.0,132,0.0002357370735652718,370.24082542162614,711.2513585512863,1.9210505965713565,0.6528722221024243,gene_ko_non_metabolic_seed100,20,100,KO: EG10054,EG10054,KO,1.0
3,6705.0,9605.0,146,0.0002220644999946171,358.6415401867955,687.5254593326324,1.917026842385688,0.6507754662532634,gene_ko_non_metabolic_seed100,20,100,KO: EG10054,EG10054,KO,1.0
4,9620.0,12460.0,143,0.00020565308252454867,344.2052960441623,616.07776394498,1.789855563018228,0.5821349255456963,gene_ko_non_metabolic_seed100,20,100,KO: EG10054,EG10054,KO,1.0
5,12473.0,15773.0,166,0.0001893988955348194,308.3647930003352,575.727272916608,1.8670330919262306,0.6243505890550127,gene_ko_non_metabolic_seed100,20,100,KO: EG10054,EG10054,KO,1.0
6,15787.0,19427.0,183,0.00018601971444606814,289.7905287321481,573.4087532102656,1.9787008075072885,0.6824404715160822,gene_ko_non_metabolic_seed100,20,100,KO: EG10054,EG10054,KO,1.0
7,19437.0,23117.0,185,0.00021754993245153595,287.5597025656788,668.0811700861473,2.3232781371150475,0.8429791784828219,gene_ko_non_metabolic_seed100,20,100,KO: EG10054,EG10054,KO,1.0
8,23136.0,26136.0,151,0.00023240081165065701,335.88831546827225,677.9197942418916,2.018289303385808,0.7022502730960924,gene_ko_non_metabolic_seed100,20,100,KO: EG10054,EG10054,KO,1.0
1,0.0,2220.0,112,0.00027473061753751857,411.091894484102,756.914661372909,1.8412298357835437,0.6104337373612365,gene_ko_trial40_seed101,4,101,KO: EG10030,EG10030,KO,1.0
2,2235.0,4915.0,135,0.0002512916471438691,380.7044264402566,751.8355718190251,1.9748537700204793,0.6804943551159925,gene_ko_trial40_seed101,4,101,KO: EG10030,EG10030,KO,1.0
3,4917.0,7497.0,130,0.00024847411076388883,375.579597123039,716.1481310841111,1.9067812430969266,0.645416607451466,gene_ko_trial40_seed101,4,101,KO: EG10030,EG10030,KO,1.0
4,7508.0,10288.0,140,0.00024274343374220254,357.68579730161275,705.0951112572584,1.9712695236336106,0.6786777634355947,gene_ko_trial40_seed101,4,101,KO: EG10030,EG10030,KO,1.0
5,10299.0,13139.0,143,0.0002495677223133839,353.90668758557706,722.5380434275487,2.041606075196966,0.7137367898677492,gene_ko_trial40_seed101,4,101,KO: EG10030,EG10030,KO,1.0
6,13158.0,15898.0,138,0.0002509561774041382,362.59972382151534,724.3044149824314,1.9975316234354334,0.6919122300400763,gene_ko_trial40_seed101,4,101,KO: EG10030,EG10030,KO,1.0
