generation_reconstructed,start_time,end_time,n_points,growth_mean,dry_mass_start,dry_mass_end,fold_change_mass,log_fold_change_mass,project,variant,lineage_seed,label,gene_id,run_type,step_scale
5,12587.0,16959.0,12,9.191812513760794e-05,269.4351526292172,210.71043399959,0.7820450744582644,-0.24584290012574017,gene_ko_441imported_2seeds,159,100,KO: G6879,G6879,KO,20.0
6,17359.0,25744.0,22,5.689664990447595e-05,217.17821401143766,182.5091761742383,0.8403659501713485,-0.17391782704895856,gene_ko_441imported_2seeds,159,100,KO: G6879,G6879,KO,20.0
7,26144.0,36544.0,27,3.2789500525750974e-05,185.4722171200296,264.1812980721245,1.4243712733598142,0.353730504680779,gene_ko_441imported_2seeds,159,100,KO: G6879,G6879,KO,20.0
1,0.0,4045.0,12,0.00019207167964527426,266.9686781212206,345.0194251167418,1.2923591918902233,0.25646937902108646,gene_ko_441imported_2seeds,160,100,KO: EG10409,EG10409,KO,20.0
2,4445.0,6879.0,8,0.00015179095448723112,374.3074887729921,285.66232331600486,0.7631755492053534,-0.2702671965659882,gene_ko_441imported_2seeds,160,100,KO: EG10409,EG10409,KO,20.0
3,7279.0,10637.0,10,0.00012397484622337653,304.11426146099393,241.37537389180693,0.793699620439425,-0.23105020110209662,gene_ko_441imported_2seeds,160,100,KO: EG10409,EG10409,KO,20.0
4,11037.0,15958.0,14,9.124026581203304e-05,253.22261153391923,216.41972651823238,0.8546619324682342,-0.15704928885876304,gene_ko_441imported_2seeds,160,100,KO: EG10409,EG10409,KO,20.0
5,16358.0,23678.0,20,6.7704464509269e-05,222.86205262570786,188.50278180752127,0.8458271813735276,-0.16744021757962646,gene_ko_441imported_2seeds,160,100,KO: EG10409,EG10409,KO,20.0
6,24078.0,34478.0,27,5.6696587911185684e-05,193.3612740003574,361.2068743623122,1.8680414484735166,0.6248905282508049,gene_ko_441imported_2seeds,160,100,KO: EG10409,EG10409,KO,20.0
1,0.0,4029.0,12,0.00022667852404134432,266.9734377939619,404.766297648712,1.5161294733788926,0.41616068817690555,gene_ko_441imported_2seeds,161,100,KO: EG10999,EG10999,KO,20.0
2,4429.0,6360.0,6,0.00014872913994415908,441.3087273988474,309.1282376923401,0.7004806805303789,-0.35598849312804043,gene_ko_441imported_2seeds,161,100,KO: EG10999,EG10999,KO,20.0
3,6760.0,9626.0,9,0.00011480284484537588,328.75761670873044,247.9377159983535,0.7541656934994118,-0.2821431824645184,gene_ko_441imported_2seeds,161,100,KO: EG10999,EG10999,KO,20.0
4,10026.0,14816.0,13,9.642058975291946e-05,258.70403061947513,216.6985206644473,0.8376310185255162,-0.1771775874879139,gene_ko_441imported_2seeds,161,100,KO: EG10999,EG10999,KO,20.0
5,15216.0,21838.0,18,7.492901942959396e-05,226.0005404185356,194.32210819956651,0.8598302811121467,-0.15102025675418806,gene_ko_441imported_2seeds,161,100,KO: EG10999,EG10999,KO,20.0
6,22238.0,31943.0,26,5.934099581071615e-05,199.44784174767778,181.49294094471975,0.9099769611662539,-0.09433599719145305,gene_ko_441imported_2seeds,161,100,KO: EG10999,EG10999,KO,20.0
7,32343.0,42743.0,27,4.3215859093839245e-05,185.0188836455676,291.97597242791437,1.5780874182942304,0.4562136190478356,gene_ko_441imported_2seeds,161,100,KO: EG10999,EG10999,KO,20.0
1,0.0,4069.0,12,0.00022733927041516914,266.9647654896215,400.94329536840485,1.501858474218733,0.40670332401483833,gene_ko_441imported_2seeds,162,100,KO: EG11351,EG11351,KO,20.0
2,4469.0,6455.0,6,0.00019818844709762736,441.2161318997564,357.3635528312061,0.8099512392996513,-0.21078123152314096,gene_ko_441imported_2seeds,162,100,KO: EG11351,EG11351,KO,20.0
3,6855.0,9252.0,7,0.00018894628196326163,391.909724711071,333.9043259639236,0.851992958863394,-0.16017701643181312,gene_ko_441imported_2seeds,162,100,KO: EG11351,EG11351,KO,20.0
4,9652.0,12289.0,8,0.00018192709465616758,364.2372429978043,312.80938618463654,0.8588067041417898,-0.15221140660161175,gene_ko_441imported_2seeds,162,100,KO: EG11351,EG11351,KO,20.0
5,12689.0,15552.0,9,0.00017576276220756788,338.88591230638053,298.49908063707915,0.8808246958557888,-0.1268966559833123,gene_ko_441imported_2seeds,162,100,KO: EG11351,EG11351,KO,20.0
6,15952.0,19084.0,9,0.0001700896771918817,324.15209189211487,295.64064120666967,0.9120429841466688,-0.09206815827870274,gene_ko_441imported_2seeds,162,100,KO: EG11351,EG11351,KO,20.0
7,19484.0,22613.0,9,0.00016448973603575372,318.50726479329626,283.1043020260173,0.8888472362153038,-0.11782989601209598,gene_ko_441imported_2seeds,162,100,KO: EG11351,EG11351,KO,20.0
8,23013.0,26213.0,9,0.00018559531491158627,304.30353804339995,554.3312688666163,1.821639250173809,0.5997367826223289,gene_ko_441imported_2seeds,162,100,KO: EG11351,EG11351,KO,20.0
1,0.0,4000.0,11,0.0002371776107940203,266.96842993028304,736.240278966827,2.757780308177604,1.0144261199901203,gene_ko_441imported_2seeds,163,100,KO: EG10565,EG10565,KO,20.0
2,4081.0,6650.0,8,0.0001831468820020411,376.38619921057125,352.72297453956537,0.9371304667369927,-0.06493276765639241,gene_ko_441imported_2seeds,163,100,KO: EG10565,EG10565,KO,20.0
3,7050.0,9522.0,8,0.00020864124548609144,390.3709481913472,345.70809775559235,0.885588692901751,-0.12150266539533477,gene_ko_441imported_2seeds,163,100,KO: EG10565,EG10565,KO,20.0
4,9922.0,12395.0,8,0.0002245397757806274,379.0364676538193,349.3802390070008,0.921758904016845,-0.08147158201017844,gene_ko_441imported_2seeds,163,100,KO: EG10565,EG10565,KO,20.0
5,12795.0,15288.0,8,0.00021210821889974216,386.2568313037191,350.8442448485181,0.9083185497699183,-0.09616013616800813,gene_ko_441imported_2seeds,163,100,KO: EG10565,EG10565,KO,20.0
6,15688.0,18082.0,7,0.0001770200144925705,382.66160883014277,310.73624760392863,0.8120392546142756,-0.20820659686792103,gene_ko_441imported_2seeds,163,100,KO: EG10565,EG10565,KO,20.0
