project,variant,lineage_seed,label,gene_id,run_type,n_generations,mean_growth_over_generations,total_fold_change_mass,mean_log_fold_change_mass,step_scale
gene_ko_441imported_2seeds,36,100,KO: EG10709,EG10709,KO,7,0.00013022438500974473,0.7851978988828393,-0.03454564178343193,20.0
gene_ko_441imported_2seeds,36,101,KO: EG10709,EG10709,KO,7,0.00014525469172005674,0.6020274963870339,-0.07249316566498168,20.0
gene_ko_441imported_2seeds,37,100,KO: G7836,G7836,KO,8,0.00021038159037928416,1.2556917063093842,0.028460822644565197,20.0
gene_ko_441imported_2seeds,37,101,KO: G7836,G7836,KO,8,0.0002160414360195675,0.8084026434593029,-0.026586877933596986,20.0
gene_ko_441imported_2seeds,38,100,KO: EG11736,EG11736,KO,8,0.00019424428733495492,1.3725525792700513,0.03958402534873129,20.0
gene_ko_441imported_2seeds,38,101,KO: EG11736,EG11736,KO,8,0.00022706168056231085,0.7798652063092402,-0.031079273332042315,20.0
gene_ko_441imported_2seeds,39,100,KO: EG12078,EG12078,KO,8,0.00020132691774964466,1.095580358295384,0.011410528804968817,20.0
gene_ko_441imported_2seeds,39,101,KO: EG12078,EG12078,KO,8,0.0002038867559461322,0.7700839409637036,-0.032656969479681455,20.0
gene_ko_441imported_2seeds,40,100,KO: EG11663,EG11663,KO,8,0.00020928327622691216,1.3762241828919557,0.039917956231735136,20.0
gene_ko_441imported_2seeds,40,101,KO: EG11663,EG11663,KO,8,0.00020148031255090354,0.7933764341266757,-0.02893218421617183,20.0
gene_ko_441imported_2seeds,41,100,KO: EG10904,EG10904,KO,6,0.00039978196014028026,10.776083520649737,0.3962215316158524,20.0
gene_ko_441imported_2seeds,41,101,KO: EG10904,EG10904,KO,7,0.00013262482495277772,0.30948657701108706,-0.16754865110195719,20.0
gene_ko_441imported_2seeds,42,100,KO: EG10532,EG10532,KO,7,0.00012419723116987165,0.6696463866566187,-0.057286498147446255,20.0
gene_ko_441imported_2seeds,42,101,KO: EG10532,EG10532,KO,7,0.00014273434076385178,0.5292592353545325,-0.09089670274699112,20.0
gene_ko_441imported_2seeds,43,100,KO: EG10188,EG10188,KO,8,0.0001856440096200698,1.2622389355463963,0.02911088463238111,20.0
gene_ko_441imported_2seeds,43,101,KO: EG10188,EG10188,KO,8,0.00021356940168544732,0.7996198995183078,-0.027952348728032372,20.0
gene_ko_441imported_2seeds,44,100,KO: EG10808,EG10808,KO,8,0.00019531234413666085,1.3208365903966448,0.03478316455596122,20.0
gene_ko_441imported_2seeds,44,101,KO: EG10808,EG10808,KO,8,0.00018919620553603436,0.641288390327615,-0.055534502041484766,20.0
gene_ko_441imported_2seeds,45,100,KO: EG10052,EG10052,KO,8,0.00020932544607612995,1.2045879582498613,0.023267195638193197,20.0
gene_ko_441imported_2seeds,45,101,KO: EG10052,EG10052,KO,8,0.00022458016523957766,0.7843146067110554,-0.03036813188180315,20.0
gene_ko_441imported_2seeds,46,100,KO: EG10027,EG10027,KO,8,0.00020271336084107803,1.3595691749785415,0.03839598330719756,20.0
gene_ko_441imported_2seeds,46,101,KO: EG10027,EG10027,KO,8,0.0001987400823908993,0.8144384704481451,-0.025657049565176074,20.0
gene_ko_441imported_2seeds,47,100,KO: EG12424,EG12424,KO,8,0.00019782020405656865,1.266203314459212,0.029502863345897842,20.0
gene_ko_441imported_2seeds,47,101,KO: EG12424,EG12424,KO,8,0.000196332846893463,0.7516664739373117,-0.0356828215145238,20.0
gene_ko_441imported_2seeds,48,100,KO: EG10196,EG10196,KO,6,0.00017977558368758974,5.025261864705688,0.26907959416109634,20.0
gene_ko_441imported_2seeds,48,101,KO: EG10196,EG10196,KO,6,0.00013313765717272726,0.4884694519728368,-0.11941305729981617,20.0
gene_ko_441imported_2seeds,49,100,KO: EG11112,EG11112,KO,8,0.00020828459023979965,1.169468485063777,0.019568669915014852,20.0
gene_ko_441imported_2seeds,49,101,KO: EG11112,EG11112,KO,8,0.00019482356874467435,0.7308524810158249,-0.03919295549418925,20.0
gene_ko_441imported_2seeds,50,100,KO: G6397,G6397,KO,8,0.00018720449893653825,2.7094309675374477,0.12459232972066545,20.0
gene_ko_441imported_2seeds,50,101,KO: G6397,G6397,KO,8,0.00020286658913574543,0.7333599542632899,-0.03876482846182401,20.0
gene_ko_441imported_2seeds,51,100,KO: EG10073,EG10073,KO,8,0.0002036747170077488,1.3031380246485416,0.03309690261115163,20.0
gene_ko_441imported_2seeds,51,101,KO: EG10073,EG10073,KO,8,0.00019382950448905252,0.862431719325703,-0.018499912401200025,20.0
gene_ko_441imported_2seeds,52,100,KO: EG10137,EG10137,KO,8,0.00021863338223256491,1.226469465759192,0.025517461122480337,20.0
gene_ko_441imported_2seeds,52,101,KO: EG10137,EG10137,KO,8,0.00020014077576434867,0.8729364582239773,-0.016986563916384437,20.0
gene_ko_441imported_2seeds,53,100,KO: EG10361,EG10361,KO,8,0.00020587972298768785,1.2845622593766908,0.03130225076622542,20.0
gene_ko_441imported_2seeds,53,101,KO: EG10361,EG10361,KO,8,0.00019678672208538764,0.7907685816766642,-0.029343739783969702,20.0
gene_ko_441imported_2seeds,54,100,KO: EG10383,EG10383,KO,4,9.53540680534133e-05,1.1249562595085616,0.029436038615921367,20.0
gene_ko_441imported_2seeds,54,101,KO: EG10383,EG10383,KO,5,0.00010600350211204185,0.6602377109120792,-0.08303106815160058,20.0
gene_ko_441imported_2seeds,55,100,KO: EG10928,EG10928,KO,8,0.00020436847155285868,2.499451651646638,0.11450892105930238,20.0
gene_ko_441imported_2seeds,55,101,KO: EG10928,EG10928,KO,8,0.00018824141789911084,0.8151532380044374,-0.02554739516548478,20.0
gene_ko_441imported_2seeds,56,100,KO: EG10036,EG10036,KO,8,0.00020792103347200025,1.1667346786677728,0.019276121766132567,20.0
gene_ko_441imported_2seeds,56,101,KO: EG10036,EG10036,KO,8,0.00019799881548605955,0.7944508069889847,-0.028763026483131254,20.0
gene_ko_441imported_2seeds,57,100,KO: EG10866,EG10866,KO,6,0.0003559365487673948,4.698299834127871,0.2578667843089414,20.0
gene_ko_441imported_2seeds,57,101,KO: EG10866,EG10866,KO,6,0.0003611724141935147,5.035871026258838,0.2694310842500774,20.0
gene_ko_441imported_2seeds,58,100,KO: EG10774,EG10774,KO,8,0.00018847487327607474,1.090496960964508,0.010829189978508603,20.0
gene_ko_441imported_2seeds,58,101,KO: EG10774,EG10774,KO,8,0.00021309399283149513,0.7744882521869495,-0.031944098436834475,20.0
gene_ko_441imported_2seeds,59,100,KO: EG10914,EG10914,KO,5,0.0003380867287023189,9.84571378820865,0.4574072424148484,20.0
gene_ko_441imported_2seeds,59,101,KO: EG10914,EG10914,KO,5,0.0005982789778472356,6.312598525558807,0.3685094804977981,20.0
gene_ko_441imported_2seeds,60,100,KO: EG11027,EG11027,KO,7,9.591691154892511e-05,1.8475584450521292,0.08769500114421105,20.0
gene_ko_441imported_2seeds,60,101,KO: EG11027,EG11027,KO,7,0.00011023105310466138,0.5680889741438573,-0.08078246112985799,20.0
gene_ko_441imported_2seeds,61,100,KO: EG10118,EG10118,KO,8,0.00020175784654198538,1.2647678808239204,0.02936107649033505,20.0
gene_ko_441imported_2seeds,61,101,KO: EG10118,EG10118,KO,8,0.00021460913870219498,0.7524051435060221,-0.035560043180777795,20.0
gene_ko_441imported_2seeds,62,100,KO: EG11221,EG11221,KO,8,0.0002070844759472461,1.3452559899550027,0.03707304025599854,20.0
gene_ko_441imported_2seeds,62,101,KO: EG11221,EG11221,KO,8,0.00018405408534187632,0.7534882418943892,-0.03538023321122212,20.0
gene_ko_441imported_2seeds,63,100,KO: EG12713,EG12713,KO,8,0.000214364711630736,1.3035608400597694,0.03313745346079714,20.0
gene_ko_441imported_2seeds,63,101,KO: EG12713,EG12713,KO,8,0.00021072108318978322,0.8758147490014404,-0.016575085519014793,20.0
gene_ko_441imported_2seeds,64,100,KO: EG10095,EG10095,KO,8,0.00019355490383386474,1.1386006684966004,0.016225003082028143,20.0
gene_ko_441imported_2seeds,64,101,KO: EG10095,EG10095,KO,8,0.00020617063438580237,0.8222150377453888,-0.024469164380187577,20.0
gene_ko_441imported_2seeds,65,100,KO: EG10905,EG10905,KO,6,0.0005620456273865466,8.168356672335321,0.3500446244905307,20.0
gene_ko_441imported_2seeds,65,101,KO: EG10905,EG10905,KO,6,0.0003897421711660152,3.0613880532653144,0.18647807088193238,20.0
gene_ko_441imported_2seeds,66,100,KO: G6775,G6775,KO,8,0.00019959663711682356,2.7824706290260934,0.127917406063222,20.0
gene_ko_441imported_2seeds,66,101,KO: G6775,G6775,KO,8,0.00021213643176695146,0.8339740681987565,-0.022694121299207407,20.0
gene_ko_441imported_2seeds,67,100,KO: EG10759,EG10759,KO,8,0.00018748259905016835,1.223855898399007,0.025250805886654452,20.0
gene_ko_441imported_2seeds,67,101,KO: EG10759,EG10759,KO,8,0.0002148514437885505,0.8123015279027935,-0.025985458496030886,20.0
