gene_symbol,Gene,RNA ID,failed_before_gen8,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
cysd,cysD,EG10186_RNA,True,1,True,expected_essential,True,2
cyse,cysE,EG10187_RNA,True,1,True,expected_essential,True,2
cysg,cysG,EG10188_RNA,False,1,True,expected_essential,False,2
cysh,cysH,EG10189_RNA,True,1,True,expected_essential,True,2
cysi,cysI,EG10190_RNA,True,1,True,expected_essential,True,2
cysj,cysJ,EG10191_RNA,True,1,True,expected_essential,True,2
cysk,cysK,EG10192_RNA,False,0,False,expected_nonessential,True,2
cysm,cysM,EG10193_RNA,False,0,False,expected_nonessential,True,2
cysn,cysN,EG10194_RNA,True,1,True,expected_essential,True,2
cysp,cysP,EG10195_RNA,False,0,False,expected_nonessential,True,2
cysq,cysQ,EG10043_RNA,True,0,False,expected_nonessential,False,2
cyss,cysS,EG10196_RNA,False,1,True,expected_essential,False,2
cysu,cysU,EG10197_RNA,True,0,False,expected_nonessential,False,2
cysw,cysW,EG10198_RNA,True,0,False,expected_nonessential,False,2
cytr,cytR,EG10200_RNA,False,0,False,expected_nonessential,True,2
dapa,dapA,EG10205_RNA,False,0,False,expected_nonessential,True,2
dapb,dapB,EG10206_RNA,False,0,False,expected_nonessential,True,2
dapd,dapD,EG10207_RNA,False,1,True,expected_essential,False,2
dape,dapE,EG10208_RNA,False,1,True,expected_essential,False,2
dapf,dapF,EG10209_RNA,False,0,False,expected_nonessential,True,2
dcub,dcuB,EG10006_RNA,False,0,False,expected_nonessential,True,2
dcur,dcuR,G7826_RNA,False,0,False,expected_nonessential,True,2
ddlb,ddlB,EG10214_RNA,False,1,True,expected_essential,False,2
deob,deoB,EG10220_RNA,False,0,False,expected_nonessential,True,2
deoc,deoC,EG10221_RNA,False,0,False,expected_nonessential,True,2
dfp,dfp,EG10004_RNA,False,1,True,expected_essential,False,2
dgoa,dgoA,EG20049_RNA,False,0,False,expected_nonessential,True,2
dhak,dhaK,G6627_RNA,False,0,False,expected_nonessential,True,2
dhal,dhaL,G6626_RNA,False,0,False,expected_nonessential,True,2
dkga,dkgA,G7565_RNA,False,0,False,expected_nonessential,True,2
dppb,dppB,EG12625_RNA,False,0,False,expected_nonessential,True,2
dppd,dppD,EG12627_RNA,False,0,False,expected_nonessential,True,2
dxr,dxr,EG12715_RNA,False,0,False,expected_nonessential,True,2
dxs,dxs,G6237_RNA,False,1,True,expected_essential,False,2
emre,emrE,EG10629_RNA,False,0,False,expected_nonessential,True,2
entd,entD,EG10262_RNA,False,0,False,expected_nonessential,True,2
epmb,epmB,G7836_RNA,False,0,False,expected_nonessential,True,2
etp,etp,G6503_RNA,False,0,False,expected_nonessential,True,2
eutb,eutB,EG50006_RNA,False,0,False,expected_nonessential,True,2
fabg,fabG,EG11318_RNA,False,1,True,expected_essential,False,2
fade,fadE,G6105_RNA,False,0,False,expected_nonessential,True,2
fdng,fdnG,EG11227_RNA,False,0,False,expected_nonessential,True,2
fes,fes,EG10299_RNA,False,0,False,expected_nonessential,True,2
fklb,fklB,G7865_RNA,False,0,False,expected_nonessential,True,2
fkpa,fkpA,G7716_RNA,False,0,False,expected_nonessential,True,2
fmt,fmt,EG11268_RNA,False,0,False,expected_nonessential,True,2
folb,folB,EG11673_RNA,False,1,True,expected_essential,False,2
fole,folE,EG11375_RNA,False,1,True,expected_essential,False,2
folp,folP,EG50011_RNA,False,0,False,expected_nonessential,True,2
frda,frdA,EG10330_RNA,False,0,False,expected_nonessential,True,2
frlb,frlB,G7723_RNA,False,0,False,expected_nonessential,True,2
frld,frlD,G7726_RNA,False,0,False,expected_nonessential,True,2
fuck,fucK,EG10350_RNA,False,0,False,expected_nonessential,True,2
fuma,fumA,EG10356_RNA,False,0,False,expected_nonessential,True,2
fumc,fumC,EG10358_RNA,False,0,False,expected_nonessential,True,2
gabt,gabT,EG10361_RNA,False,0,False,expected_nonessential,True,2
gadb,gadB,EG11490_RNA,False,0,False,expected_nonessential,True,2
garl,garL,EG10016_RNA,False,0,False,expected_nonessential,True,2
gaty,gatY,EG12419_RNA,False,0,False,expected_nonessential,True,2
gcvp,gcvP,EG11810_RNA,False,0,False,expected_nonessential,True,2
glca,glcA,G7542_RNA,False,0,False,expected_nonessential,True,2
glce,glcE,G7544_RNA,True,0,False,expected_nonessential,False,2
glk,glk,EG12957_RNA,False,0,False,expected_nonessential,True,2
glmu,glmU,EG11198_RNA,False,1,True,expected_essential,False,2
glna,glnA,EG10383_RNA,True,0,False,expected_nonessential,False,2
glnh,glnH,EG10386_RNA,False,0,False,expected_nonessential,True,2
glns,glnS,EG10390_RNA,False,0,False,expected_nonessential,True,2
glta,gltA,EG10402_RNA,False,0,False,expected_nonessential,True,2
gltk,gltK,EG12662_RNA,False,0,False,expected_nonessential,True,2
gltl,gltL,EG12663_RNA,False,0,False,expected_nonessential,True,2
gltx,gltX,EG10407_RNA,False,1,True,expected_essential,False,2
glxk,glxK,G6283_RNA,False,0,False,expected_nonessential,True,2
glya,glyA,EG10408_RNA,False,0,False,expected_nonessential,True,2
glyq,glyQ,EG10409_RNA,False,1,True,expected_essential,False,2
glys,glyS,EG10410_RNA,False,1,True,expected_essential,False,2
gmhb,gmhB,EG11736_RNA,False,0,False,expected_nonessential,True,2
gmk,gmk,EG10965_RNA,False,1,True,expected_essential,False,2
gntp,gntP,EG12563_RNA,False,0,False,expected_nonessential,True,2
gpma,gpmA,EG11699_RNA,False,0,False,expected_nonessential,True,2
gsk,gsk,EG11102_RNA,False,0,False,expected_nonessential,True,2
guaa,guaA,EG10420_RNA,False,1,True,expected_essential,False,2
guab,guaB,EG10421_RNA,False,1,True,expected_essential,False,2
hisa,hisA,EG10444_RNA,False,0,False,expected_nonessential,True,2
hisb,hisB,EG10445_RNA,False,1,True,expected_essential,False,2
hisc,hisC,EG10446_RNA,False,1,True,expected_essential,False,2
hisd,hisD,EG10447_RNA,False,1,True,expected_essential,False,2
hisf,hisF,EG10448_RNA,False,0,False,expected_nonessential,True,2
hisg,hisG,EG10449_RNA,False,0,False,expected_nonessential,True,2
hish,hisH,EG10450_RNA,False,0,False,expected_nonessential,True,2
hisi,hisI,EG10451_RNA,False,0,False,expected_nonessential,True,2
hism,hisM,EG10007_RNA,False,0,False,expected_nonessential,True,2
hiss,hisS,EG10453_RNA,False,1,True,expected_essential,False,2
idnd,idnD,G7893_RNA,False,0,False,expected_nonessential,True,2
idno,idnO,G7892_RNA,False,0,False,expected_nonessential,True,2
iles,ileS,EG10492_RNA,False,1,True,expected_essential,False,2
ilvc,ilvC,EG10495_RNA,False,1,True,expected_essential,False,2
