gene_id,gene_name,gene_symbol,RNA ID,overall_label_death,label_death_bool,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
208,cysW,cysw,EG10198_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
209,cytR,cytr,EG10200_RNA,not_deadly,False,0,False,expected_nonessential,True,2
214,dapA,dapa,EG10205_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
215,dapB,dapb,EG10206_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
216,dapD,dapd,EG10207_RNA,deadly_gene,True,1,True,expected_essential,True,2
217,dapE,dape,EG10208_RNA,deadly_gene,True,1,True,expected_essential,True,2
218,dapF,dapf,EG10209_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
223,ddlB,ddlb,EG10214_RNA,not_deadly,False,1,True,expected_essential,False,2
229,deoB,deob,EG10220_RNA,not_deadly,False,0,False,expected_nonessential,True,2
230,deoC,deoc,EG10221_RNA,not_deadly,False,0,False,expected_nonessential,True,2
271,entD,entd,EG10262_RNA,not_deadly,False,0,False,expected_nonessential,True,2
308,fes,fes,EG10299_RNA,not_deadly,False,0,False,expected_nonessential,True,2
339,frdA,frda,EG10330_RNA,not_deadly,False,0,False,expected_nonessential,True,2
359,fucK,fuck,EG10350_RNA,not_deadly,False,0,False,expected_nonessential,True,2
364,fumA,fuma,EG10356_RNA,not_deadly,False,0,False,expected_nonessential,True,2
366,fumC,fumc,EG10358_RNA,not_deadly,False,0,False,expected_nonessential,True,2
369,gabT,gabt,EG10361_RNA,not_deadly,False,0,False,expected_nonessential,True,2
391,glnA,glna,EG10383_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
394,glnH,glnh,EG10386_RNA,not_deadly,False,0,False,expected_nonessential,True,2
398,glnS,glns,EG10390_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
410,gltA,glta,EG10402_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
415,gltX,gltx,EG10407_RNA,deadly_gene,True,1,True,expected_essential,True,2
416,glyA,glya,EG10408_RNA,not_deadly,False,0,False,expected_nonessential,True,2
417,glyQ,glyq,EG10409_RNA,deadly_gene,True,1,True,expected_essential,True,2
418,glyS,glys,EG10410_RNA,deadly_gene,True,1,True,expected_essential,True,2
428,guaA,guaa,EG10420_RNA,deadly_gene,True,1,True,expected_essential,True,2
429,guaB,guab,EG10421_RNA,deadly_gene,True,1,True,expected_essential,True,2
452,hisA,hisa,EG10444_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
453,hisB,hisb,EG10445_RNA,deadly_gene,True,1,True,expected_essential,True,2
454,hisC,hisc,EG10446_RNA,deadly_gene,True,1,True,expected_essential,True,2
455,hisD,hisd,EG10447_RNA,deadly_gene,True,1,True,expected_essential,True,2
456,hisF,hisf,EG10448_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
457,hisG,hisg,EG10449_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
458,hisH,hish,EG10450_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
459,hisI,hisi,EG10451_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
461,hisS,hiss,EG10453_RNA,deadly_gene,True,1,True,expected_essential,True,2
472,lpxL,lpxl,EG10464_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
473,ribB,ribb,EG10465_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
500,ileS,iles,EG10492_RNA,deadly_gene,True,1,True,expected_essential,True,2
503,ilvC,ilvc,EG10495_RNA,deadly_gene,True,1,True,expected_essential,True,2
504,ilvD,ilvd,EG10496_RNA,deadly_gene,True,1,True,expected_essential,True,2
505,ilvE,ilve,EG10497_RNA,deadly_gene,True,1,True,expected_essential,True,2
528,waaA,waaa,EG10520_RNA,not_deadly,False,1,True,expected_essential,False,2
534,lacY,lacy,EG10526_RNA,not_deadly,False,0,False,expected_nonessential,True,2
540,leuS,leus,EG10532_RNA,deadly_gene,True,1,True,expected_essential,True,2
545,livG,livg,EG10537_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
547,livJ,livj,EG10539_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
557,lysA,lysa,EG10549_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
568,malP,malp,EG10560_RNA,not_deadly,False,0,False,expected_nonessential,True,2
573,malZ,malz,EG10565_RNA,not_deadly,False,0,False,expected_nonessential,True,2
574,manA,mana,EG10566_RNA,not_deadly,False,0,False,expected_nonessential,True,2
589,metA,meta,EG10581_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
590,metB,metb,EG10582_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
593,metF,metf,EG10585_RNA,deadly_gene,True,1,True,expected_essential,True,2
594,metG,metg,EG10586_RNA,deadly_gene,True,1,True,expected_essential,True,2
621,msbA,msba,EG10613_RNA,not_deadly,False,1,True,expected_essential,False,2
637,emrE,emre,EG10629_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
642,nagD,nagd,EG10634_RNA,not_deadly,False,0,False,expected_nonessential,True,2
645,nanA,nana,EG10637_RNA,not_deadly,False,0,False,expected_nonessential,True,2
658,ndk,ndk,EG10650_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
660,nhaA,nhaa,EG10652_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
662,nirC,nirc,EG10654_RNA,not_deadly,False,0,False,expected_nonessential,True,2
669,nrdB,nrdb,EG10661_RNA,not_deadly,False,0,False,expected_nonessential,True,2
679,ompF,ompf,EG10671_RNA,not_deadly,False,0,False,expected_nonessential,True,2
683,oppB,oppb,EG10675_RNA,not_deadly,False,0,False,expected_nonessential,True,2
707,pfkB,pfkb,EG10700_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
714,pheA,phea,EG10707_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
716,pheS,phes,EG10709_RNA,deadly_gene,True,1,True,expected_essential,True,2
717,pheT,phet,EG10710_RNA,deadly_gene,True,1,True,expected_essential,True,2
750,pntA,pnta,EG10744_RNA,not_deadly,False,0,False,expected_nonessential,True,2
756,potB,potb,EG10750_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
761,ppa,ppa,EG10755_RNA,deadly_gene,True,1,True,expected_essential,True,2
765,ppsA,ppsa,EG10759_RNA,not_deadly,False,0,False,expected_nonessential,True,2
775,proC,proc,EG10769_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
776,proS,pros,EG10770_RNA,deadly_gene,True,1,True,expected_essential,True,2
778,proW,prow,EG10772_RNA,not_deadly,False,0,False,expected_nonessential,True,2
780,prs,prs,EG10774_RNA,deadly_gene,True,1,True,expected_essential,True,2
788,pstA,psta,EG10782_RNA,not_deadly,False,0,False,expected_nonessential,True,2
796,purA,pura,EG10790_RNA,deadly_gene,True,1,True,expected_essential,True,2
797,purC,purc,EG10791_RNA,deadly_gene,True,1,True,expected_essential,True,2
798,purD,purd,EG10792_RNA,deadly_gene,True,1,True,expected_essential,True,2
799,purE,pure,EG10793_RNA,deadly_gene,True,1,True,expected_essential,True,2
800,purF,purf,EG10794_RNA,deadly_gene,True,1,True,expected_essential,True,2
801,purH,purh,EG10795_RNA,deadly_gene,True,1,True,expected_essential,True,2
802,purK,purk,EG10796_RNA,deadly_gene,True,1,True,expected_essential,True,2
