project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,max_growth_rate,initial_dry_mass,final_dry_mass,max_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used,source_file,lineage_seed,gene_id,run_type,ko_gene_id,growth_next_h,current_growth_h,current_dry_mass_g,current_generation,target_generation,gen_step,peak_generation,peak_censored,is_pre_peak,sample_id
gene_knockout_TU_ID_rest_list_rerun,101,KO: TU0-14474[c],0.000200748626355,0.0002220193090106,7.90274113541144e-05,0.0002825859472888,379.4264414755808,712.6304115958596,712.6304115958596,1.8781780437453337,23756.0,64,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14474[c],KO,TU0-14474[c],0.722695054878,0.722695054878,379.4264414755808,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v101|s11|KO: TU0-14474[c]
gene_knockout_TU_ID_rest_list_rerun,102,KO: TU0-14496[c],0.0001990835655119,0.0002217466094374,7.877942675413282e-05,0.0002920999266233,379.9330180074354,624.9359373167833,711.8702947876939,1.6448581926210823,23229.0,62,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14496[c],KO,TU0-14496[c],0.71670083584284,0.71670083584284,379.9330180074354,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v102|s11|KO: TU0-14496[c]
gene_knockout_TU_ID_rest_list_rerun,103,KO: TU0-14506[c],0.0002018190916581,0.0002257172560433,7.887552385375933e-05,0.0002768650618121,379.93302079275225,640.0438217749702,688.9087272701399,1.684622780192892,22775.0,62,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14506[c],KO,TU0-14506[c],0.72654872996916,0.72654872996916,379.93302079275225,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v103|s11|KO: TU0-14506[c]
gene_knockout_TU_ID_rest_list_rerun,104,KO: TU0-14509[c],0.0001961511192712,0.0002193901244706,7.595697559843098e-05,0.0002841121306714,380.0190979695752,652.0409400435155,691.4345332646421,1.7158109777307,24531.0,68,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14509[c],KO,TU0-14509[c],0.70614402937632,0.70614402937632,380.0190979695752,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v104|s11|KO: TU0-14509[c]
gene_knockout_TU_ID_rest_list_rerun,105,KO: TU0-14511[c],0.0002072145778439,0.0002388092988399,8.533146931648724e-05,0.0003055123564633,379.9327454846507,573.9903567218348,750.152195919668,1.5107683229294695,21751.0,60,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14511[c],KO,TU0-14511[c],0.74597248023804,0.74597248023804,379.9327454846507,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v105|s11|KO: TU0-14511[c]
gene_knockout_TU_ID_rest_list_rerun,106,KO: TU0-14513[c],0.0001835915939784,0.0002030819098109,7.348746348241977e-05,0.0002787512923008,380.02396532534567,557.1173569297321,709.5187438057835,1.4660058516382604,24337.0,64,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14513[c],KO,TU0-14513[c],0.66092973832224,0.66092973832224,380.02396532534567,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v106|s11|KO: TU0-14513[c]
gene_knockout_TU_ID_rest_list_rerun,107,KO: TU0-14521[c],0.0002001192537997,0.0002274437281458,7.763643527210165e-05,0.0002641381706676,379.9357431135486,642.2955723931188,705.2697971191521,1.6905373712132177,23754.0,64,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14521[c],KO,TU0-14521[c],0.7204293136789199,0.7204293136789199,379.9357431135486,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v107|s11|KO: TU0-14521[c]
gene_knockout_TU_ID_rest_list_rerun,108,KO: TU0-14536[c],0.0001875994085441,0.0002179612760999,7.825196953216684e-05,0.0002915883907502,380.02495517885234,511.4295247881728,730.7259111128758,1.3457787911519576,23502.0,63,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14536[c],KO,TU0-14536[c],0.67535787075876,0.67535787075876,380.02495517885234,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v108|s11|KO: TU0-14536[c]
gene_knockout_TU_ID_rest_list_rerun,109,KO: TU0-14537[c],0.000204403970016,0.0002332939921192,8.193062151756663e-05,0.0002971184550413,380.0236860690967,639.845690833223,695.1720309700318,1.6836995016065524,22617.0,60,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14537[c],KO,TU0-14537[c],0.7358542920576,0.7358542920576,380.0236860690967,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v109|s11|KO: TU0-14537[c]
gene_knockout_TU_ID_rest_list_rerun,110,KO: TU0-14538[c],0.0001929122649063,0.0002101702825028,7.822411461469596e-05,0.0002827197124536,379.9357218182927,582.0464437834546,710.1415715496089,1.5319603037005902,24084.0,64,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed11_all.csv,11,TU0-14538[c],KO,TU0-14538[c],0.69448415366268,0.69448415366268,379.9357218182927,0,1,1,,False,True,gene_knockout_TU_ID_rest_list_rerun|v110|s11|KO: TU0-14538[c]
