project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,max_growth_rate,initial_dry_mass,final_dry_mass,max_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used,source_file,lineage_seed,gene_extracted,ko_tu_id,run_type
gene_knockout_TU_ID_rest_list_rerun,35,KO: TU0-13215[c],0.0002425783740138,0.0002353473738627,4.258131745998443e-05,0.0006130742565202,365.9309994188594,655.60724417252,805.1854148054626,1.7916143896354777,22207.0,1113,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13215[c],TU0-13215[c],KO
gene_knockout_TU_ID_rest_list_rerun,36,KO: TU0-13350[c],0.0002445668791712,0.00023784355928,4.485013503098436e-05,0.0005852124073949,366.2120509005214,671.3489196696328,806.6450304100317,1.8332245430448693,22201.0,1115,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13350[c],TU0-13350[c],KO
gene_knockout_TU_ID_rest_list_rerun,37,KO: TU0-13373[c],0.0002174898652691,0.0002167706894027,2.8713690485735725e-05,0.0003687853577568,366.5998397797133,614.9738177341812,696.0724873929171,1.6775070553869138,24566.0,1233,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13373[c],TU0-13373[c],KO
gene_knockout_TU_ID_rest_list_rerun,38,KO: TU0-13440[c],0.0002340444123053,0.0002367313078311,2.57057760128695e-05,0.0003080885277834,366.1015735460464,698.0118505037174,708.8938583825079,1.9066070755796,23305.0,1168,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13440[c],TU0-13440[c],KO
gene_knockout_TU_ID_rest_list_rerun,39,KO: TU0-13444[c],0.0004099934250478,0.0001256826446926,0.0005262183034638,0.0030109857462044,366.22576533517497,7872.796287984296,7872.796287984296,21.497111981673388,10893.0,546,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13444[c],TU0-13444[c],KO
gene_knockout_TU_ID_rest_list_rerun,40,KO: TU0-13499[c],0.0002206566525529,0.0002181687648022,4.68570280887268e-05,0.0005881361478892,366.3631541211854,624.7318520768633,714.7977590877451,1.7052256621587412,24235.0,1216,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13499[c],TU0-13499[c],KO
gene_knockout_TU_ID_rest_list_rerun,41,KO: TU0-13514[c],0.0002557099988325,0.0002325872717031,0.0006800462880398,0.0231852681230541,366.01998437097166,638.7076760069058,820.3620775352679,1.7450076588155836,22763.0,1141,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13514[c],TU0-13514[c],KO
gene_knockout_TU_ID_rest_list_rerun,42,KO: TU0-13519[c],4.994850765310304e-05,4.243432849678977e-05,2.8720341199078474e-05,0.0002675839645736,365.95781429543024,280.3844423684212,449.3053365004257,0.7661660208246642,22475.0,1126,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13519[c],TU0-13519[c],KO
gene_knockout_TU_ID_rest_list_rerun,43,KO: TU0-13539[c],0.0002607238386744,0.0002564061165365,3.961362024647726e-05,0.0006162903712607,365.52285238767854,701.4268649185842,885.2584270503089,1.9189685688232736,20979.0,1053,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13539[c],TU0-13539[c],KO
gene_knockout_TU_ID_rest_list_rerun,44,KO: TU0-13552[c],0.0001989558185409,0.0002037887767307,3.356306860998065e-05,0.0002868119021347,366.3172664472497,551.277125763379,679.4973382597923,1.5049171203693827,26249.0,1315,8,growth_rate_summary_gene_knockout_TU_ID_rest_list_rerun12_seed10_all.csv,10,TU0-13552[c],TU0-13552[c],KO
