operon_id,num_tus,tu_ids
OP332,2,TU0-2405[c];TU0-6508[c]
OP333,1,TU00123[c]
OP334,1,TU0-6942[c]
OP335,1,TU0-12807[c]
OP336,2,TU0-13010[c];leuS-lptE[c]
OP337,1,TU00037[c]
OP338,1,TU0-13620[c]
OP339,1,TU0-8848[c]
OP340,1,TU00184[c]
OP341,1,TU00183[c]
OP342,1,TU0-6509[c]
OP343,1,TU00181[c]
OP344,1,TU00185[c]
OP345,1,TU0-6552[c]
OP346,1,TU00186[c]
OP347,5,TU-8392[c];TU0-13787[c];TU0-14489[c];TU0-4141[c];TU00324[c]
OP348,1,TU00221[c]
OP349,1,EG10554_RNA[c]
OP350,1,EG10555_RNA[c]
OP351,1,EG10556_RNA[c]
OP352,1,TU00187[c]
OP353,2,TU-8414[c];TU00039[c]
OP354,1,TU00091[c]
OP355,2,TU0-44194[c];TU00132[c]
OP356,1,TU0-5402[c]
OP357,1,TU0-6425[c]
OP358,3,TU0-13419[c];TU0-198707[c];TU00196[c]
OP359,5,TU0-14269[c];TU0-198693[c];TU0-198694[c];TU0-42589[c];TU522[c]
OP360,1,TU0-13154[c]
OP361,1,TU0-5661[c]
OP362,1,TU0-14745[c]
OP363,1,TU00131[c]
OP364,3,TU0-14538[c];TU0-5843[c];TU00298[c]
OP365,1,TU0-5061[c]
OP366,1,TU0-3741[c]
OP367,1,TU00191[c]
OP368,1,TU0-8221[c]
OP369,1,TU00218[c]
OP370,1,TU0-13519[c]
OP371,1,TU0-42471[c]
OP372,1,TU0-2706[c]
OP373,1,TU0-1783[c]
OP374,1,TU0-8223[c]
OP375,2,TU0-45256[c];TU0-7901[c]
OP376,1,TU00299[c]
OP377,2,TU0-14672[c];TU0-45180[c]
OP378,1,EG10601_RNA[c]
OP379,1,EG10602_RNA[c]
OP380,2,TU00459[c];mprA[c]
OP381,1,EG10604_RNA[c]
OP382,1,TU0-12820[c]
OP383,1,TU0-13009[c]
OP384,3,TU0-14386[c];TU0-14388[c];TU0-14532[c]
OP385,1,TU0-13518[c]
OP386,1,TU0-8821[c]
OP387,1,TU0-13087[c]
OP388,1,TU0-13441[c]
OP389,1,TU00193[c]
OP390,1,TU0-14288[c]
OP391,1,TU261[c]
OP392,1,EG10619_RNA[c]
OP393,1,EG10620_RNA[c]
OP394,1,EG10621_RNA[c]
OP395,1,EG10622_RNA[c]
OP396,1,EG10623_RNA[c]
OP397,1,TU0-13747[c]
OP398,1,TU723[c]
OP399,2,TU0-4343[c];secMA[c]
OP400,7,TU0-5561[c];TU0-5564[c];TU0-5567[c];TU0-5568[c];TU0-5569[c];TU0-5581[c];TU00129[c]
OP401,1,TU00188[c]
OP402,1,TU0-14417[c]
OP403,1,TU0-13037[c]
OP404,1,TU00194[c]
OP405,4,TU0-14463[c];TU0-6652[c];TU0-7805[c];TU00043[c]
OP406,1,TU0-4421[c]
OP407,3,TU0-1601[c];TU0-198885[c];TU0-42543[c]
OP408,1,TU00044[c]
OP409,1,EG10642_RNA[c]
OP410,1,TU00156[c]
OP411,4,TU-8427[c];TU0-194009[c];TU0-2649[c];TU00306[c]
OP412,1,TU00158[c]
OP413,1,TU0-13651[c]
OP414,1,TU00189[c]
OP415,2,TU0-14299[c];TU0-3862[c]
OP416,1,TU0-13886[c]
OP417,1,TU0-8817[c]
OP418,2,TU0-14305[c];TU00047[c]
OP419,2,TU0-8456[c];TU0-8458[c]
OP420,1,TU0-13386[c]
OP421,4,TU0-12921[c];TU0-14466[c];nusB[c];ribE-nusB[c]
OP422,1,TU00354[c]
OP423,2,TU0-13222[c];TU0-14739[c]
OP424,1,TU0-4742[c]
OP425,1,TU00049[c]
OP426,1,TU0-45229[c]
OP427,3,TU0-198697[c];TU0-45147[c];TU00222[c]
OP428,1,TU0-45230[c]
OP429,1,TU0-1761[c]
OP430,1,TU0-45266[c]
OP431,1,TU0-13417[c]
OP432,2,TU21[c];pal[c]
OP433,1,TU00314[c]
OP434,1,TU0-13830[c]
OP435,1,TU0-13837[c]
OP436,1,TU00141[c]
OP437,1,TU00363[c]
OP438,1,TU0-36412[c]
OP439,1,TU0-14175[c]
OP440,1,TU0-6442[c]
OP441,1,TU0-8489[c]
OP442,1,TU0-13792[c]
OP443,2,TU0-14056[c];pepQ[c]
OP444,1,TU0-14813[c]
OP445,1,TU0-6408[c]
OP446,2,TU00377[c];TU00380[c]
OP447,1,TU0-45260[c]
OP448,1,TU0-13199[c]
OP449,1,TU0-13451[c]
OP450,1,TU0-6653[c]
OP451,1,TU0-8149[c]
OP452,1,TU0-14132[c]
OP453,1,TU0-14131[c]
OP454,2,TU0-14552[c];TU00201[c]
OP455,2,TU0-44195[c];TU00052[c]
OP456,1,TU00053[c]
OP457,1,TU00086[c]
OP458,2,TU0-14468[c];TU0-41681[c]
OP459,6,TU0-14692[c];TU0-14693[c];TU0-14694[c];TU0-36418[c];TU0-36420[c];TU0-45216[c]
OP460,2,TU0-14679[c];TU365[c]
OP461,1,TU0-13153[c]
OP462,1,TU0-14046[c]
OP463,1,TU0-14049[c]
OP464,1,TU-8421[c]
OP465,1,TU0-14167[c]
OP466,1,TU00195[c]
OP467,3,TU0-6654[c];TU0-6660[c];TU0-8474[c]
OP468,1,TU0-198873[c]
OP469,1,TU661[c]
OP470,1,TU0-7581[c]
OP471,1,TU0-8822[c]
OP472,2,TU00321[c];potD[c]
OP473,1,TU00360[c]
OP474,5,TU0-13075[c];TU0-14451[c];TU0-14618[c];TU0-42650[c];TU0-45205[c]
OP475,1,TU0-8492[c]
OP476,1,TU0-6510[c]
OP477,1,TU00463[c]
OP478,2,TU0-12963[c];ppiB[c]
OP479,1,TU00162[c]
OP480,1,TU0-13425[c]
OP481,1,TU0-14087[c]
OP482,1,TU00346[c]
