gene_id,monomer_id,mean_functional_units,num_complexes,is_functional
EG11761,EG11761-MONOMER[c],0.19635284139100934,1,False
EG11294,EG11294-MONOMER[c],0.19804919423240033,1,False
EG10993,THREODEHYD-MONOMER[c],0.19868532654792198,1,False
EG10840,GLCNACPTRANS-MONOMER[o],0.19974554707379136,1,False
G7492,G7492-MONOMER[c],0.20271416454622562,1,False
EG50009,GLUTDECARBOXA-MONOMER[c],0.20384506644048628,1,False
EG12236,ARSF-MONOMER[i],0.20398642917726886,1,False
EG11306,EG11306-MONOMER[c],0.2056827820186599,1,False
G7901,G7901-MONOMER[c],0.20653095843935537,1,False
EG10572,EG10572-MONOMER[c],0.20737913486005088,1,False
EG10049,APPA-MONOMER[p],0.20780322307039864,1,False
G6810,G6810-MONOMER[i],0.2082273112807464,1,False
EG10001,ALARACEBIOSYN-MONOMER[c],0.2090754877014419,1,False
G7641,G7641-MONOMER[c],0.2090754877014419,1,False
G7271,G7271-MONOMER[c],0.21034775233248512,1,False
G6760,G6760-MONOMER[c],0.21034775233248515,1,False
G6811,G6811-MONOMER[c],0.21034775233248515,1,False
EG10961,ORNDECARBOX-BIO-MONOMER[c],0.21034775233248515,1,False
EG10295,FEPC-MONOMER[i],0.21034775233248515,1,False
EG10294,FEPB-MONOMER[p],0.21034775233248515,1,False
EG10298,FEPG-MONOMER[i],0.21034775233248515,1,False
EG10296,FEPD-MONOMER[i],0.21034775233248515,1,False
G7175,G7175-MONOMER[c],0.21289228159457166,1,False
EG10609,EG10609-MONOMER[i],0.21289228159457166,1,False
EG13270,AQPZ-MONOMER[i],0.21310432569974555,1,False
G6721,G6721-MONOMER[c],0.21317500706813683,1,False
EG11211,EG11211-MONOMER[c],0.21374045801526717,1,False
EG12202,EG12202-MONOMER[c],0.21416454622561493,1,False
EG10670,EG10670-MONOMER[o],0.21430590896239748,1,False
EG12127,TREB-MONOMER[i],0.21458863443596268,1,False
G7855,G7855-MONOMER[c],0.21571953633022337,1,False
EG10357,FUMB-MONOMER[c],0.21586089906700592,1,False
EG11795,PD00339[c],0.21628498727735368,1,False
EG11873,YIIP-MONOMER[i],0.2171331636980492,1,False
G7925,G7925-MONOMER[c],0.2177692960135708,1,False
EG10976,EG10976-MONOMER[c],0.21840542832909246,1,False
EG10590,ASPKINIIHOMOSERDEHYDROGII-MONOMER[c],0.21925360474978794,1,False
EG12235,EG12235-MONOMER[c],0.21925360474978794,1,False
EG10748,EG10748-MONOMER[p],0.2196776929601357,1,False
EG10818,RIBOKIN-MONOMER[c],0.22010178117048346,1,False
EG11606,KCH-MONOMER[i],0.22073791348600508,1,False
G7348,G7348-MONOMER[i],0.2222222222222222,1,False
