variant,gene_id,failed_before_gen8,expected_failed_before_gen8,RNA ID,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
127,EG11746,False,False,EG11746_RNA,0,False,expected_nonessential,True,2
128,EG10195,False,False,EG10195_RNA,0,False,expected_nonessential,True,2
129,EG10079,False,False,EG10079_RNA,0,False,expected_nonessential,True,2
130,EG11673,False,True,EG11673_RNA,1,True,expected_essential,False,2
131,G6710,False,False,G6710_RNA,0,False,expected_nonessential,True,2
132,EG10214,False,True,EG10214_RNA,1,True,expected_essential,False,2
133,EG10883,True,True,EG10883_RNA,1,True,expected_essential,True,2
134,EG11867,False,False,EG11867_RNA,0,False,expected_nonessential,True,2
135,EG10906,True,True,EG10906_RNA,1,True,expected_essential,True,2
136,EG12026,False,False,EG12026_RNA,0,False,expected_nonessential,True,2
137,EG10200,False,False,EG10200_RNA,0,False,expected_nonessential,True,2
138,EG10793,True,True,EG10793_RNA,1,True,expected_essential,True,2
139,G7726,False,False,G7726_RNA,0,False,expected_nonessential,True,2
140,EG10980,False,True,EG10980_RNA,1,True,expected_essential,False,2
141,EG11428,False,False,EG11428_RNA,0,False,expected_nonessential,True,2
142,G6096,False,False,G6096_RNA,0,False,expected_nonessential,True,2
143,EG11631,False,False,EG11631_RNA,0,False,expected_nonessential,True,2
144,EG10161,False,False,EG10161_RNA,0,False,expected_nonessential,True,2
145,EG10877,True,True,EG10877_RNA,1,True,expected_essential,True,2
146,EG10012,False,False,EG10012_RNA,0,False,expected_nonessential,True,2
147,EG10066,False,False,EG10066_RNA,0,False,expected_nonessential,True,2
148,EG11082,False,False,EG11082_RNA,0,False,expected_nonessential,True,2
149,EG12302,False,True,EG12302_RNA,1,True,expected_essential,False,2
150,G6711,False,False,G6711_RNA,0,False,expected_nonessential,True,2
151,EG10205,True,False,EG10205_RNA,0,False,expected_nonessential,False,2
152,EG11630,False,False,EG11630_RNA,0,False,expected_nonessential,True,2
153,EG10119,False,False,EG10119_RNA,0,False,expected_nonessential,True,2
154,EG10792,False,True,EG10792_RNA,1,True,expected_essential,False,2
155,EG10526,False,False,EG10526_RNA,0,False,expected_nonessential,True,2
156,EG10056,False,False,EG10056_RNA,0,False,expected_nonessential,True,2
157,EG10901,True,True,EG10901_RNA,1,True,expected_essential,True,2
158,EG10094,True,True,EG10094_RNA,1,True,expected_essential,True,2
159,G6879,True,False,G6879_RNA,0,False,expected_nonessential,False,2
160,EG10409,True,True,EG10409_RNA,1,True,expected_essential,True,2
161,EG10999,True,True,EG10999_RNA,1,True,expected_essential,True,2
162,EG11351,False,False,EG11351_RNA,0,False,expected_nonessential,True,2
163,EG10565,False,False,EG10565_RNA,0,False,expected_nonessential,True,2
164,EG11102,False,False,EG11102_RNA,0,False,expected_nonessential,True,2
165,EG11971,False,False,EG11971_RNA,0,False,expected_nonessential,True,2
166,EG11318,False,True,EG11318_RNA,1,True,expected_essential,False,2
167,G6517,False,False,G6517_RNA,0,False,expected_nonessential,True,2
168,EG10893,True,True,EG10893_RNA,1,True,expected_essential,True,2
169,EG10186,False,True,EG10186_RNA,1,True,expected_essential,False,2
170,EG11032,False,False,EG11032_RNA,0,False,expected_nonessential,True,2
171,EG10117,False,False,EG10117_RNA,0,False,expected_nonessential,True,2
172,EG10096,False,False,EG10096_RNA,0,False,expected_nonessential,True,2
173,G6943,False,False,G6943_RNA,0,False,expected_nonessential,True,2
174,EG11957,False,False,EG11957_RNA,0,False,expected_nonessential,True,2
175,G7454,False,False,G7454_RNA,0,False,expected_nonessential,True,2
176,EG11810,False,False,EG11810_RNA,0,False,expected_nonessential,True,2
177,G7579,False,False,G7579_RNA,0,False,expected_nonessential,True,2
178,G7742,False,False,G7742_RNA,0,False,expected_nonessential,True,2
179,EG10076,False,True,EG10076_RNA,1,True,expected_essential,False,2
180,EG10104,False,False,EG10104_RNA,0,False,expected_nonessential,True,2
181,EG11866,False,False,EG11866_RNA,0,False,expected_nonessential,True,2
182,G7663,False,True,G7663_RNA,1,True,expected_essential,False,2
183,EG10465,False,False,EG10465_RNA,0,False,expected_nonessential,True,2
184,EG10772,False,False,EG10772_RNA,0,False,expected_nonessential,True,2
185,EG12319,False,True,EG12319_RNA,1,True,expected_essential,False,2
186,G6269,False,False,G6269_RNA,0,False,expected_nonessential,True,2
187,G6364,False,False,G6364_RNA,0,False,expected_nonessential,True,2
188,G7723,False,False,G7723_RNA,0,False,expected_nonessential,True,2
189,EG10888,True,True,EG10888_RNA,1,True,expected_essential,True,2
190,EG10135,False,True,EG10135_RNA,1,True,expected_essential,False,2
191,EG10886,True,True,EG10886_RNA,1,True,expected_essential,True,2
