tu,coef_full,coef_seedA_train,coef_seedB_train,abs_full,abs_seedA_train,abs_seedB_train,coef_mean,coef_std,stability_score,abs_mean
tu_available__TU00347[c],0.8633882919646794,0.9234464465390394,0.8033301373903198,0.8633882919646794,0.9234464465390394,0.8033301373903198,0.8633882919646796,0.06005815457435981,0.8633882919646796,0.8633882919646796
tu_available__TU00336[c],0.8633882919646807,0.9234464465390391,0.8033301373903189,0.8633882919646807,0.9234464465390391,0.8033301373903189,0.8633882919646796,0.06005815457436009,0.8633882919646796,0.8633882919646796
tu_available__TU00281[c],0.8633882919646797,0.9234464465390396,0.8033301373903196,0.8633882919646797,0.9234464465390396,0.8033301373903196,0.8633882919646796,0.060058154574360034,0.8633882919646796,0.8633882919646796
tu_available__TU00484[c],0.8633882919646799,0.9234464465390391,0.8033301373903197,0.8633882919646799,0.9234464465390391,0.8033301373903197,0.8633882919646796,0.06005815457435971,0.8633882919646796,0.8633882919646796
tu_available__TU0-5522[c],0.8633882919646804,0.9234464465390394,0.8033301373903192,0.8633882919646804,0.9234464465390394,0.8033301373903192,0.8633882919646796,0.06005815457436009,0.8633882919646796,0.8633882919646796
tu_available__TU0-14042[c],0.8633882919646809,0.9234464465390391,0.8033301373903189,0.8633882919646809,0.9234464465390391,0.8033301373903189,0.8633882919646796,0.06005815457436009,0.8633882919646796,0.8633882919646796
tu_available__TU0-6562[c],0.8633882919646805,0.9234464465390391,0.8033301373903194,0.8633882919646805,0.9234464465390391,0.8033301373903194,0.8633882919646796,0.06005815457435981,0.8633882919646796,0.8633882919646796
tu_available__TU0-8323[c],0.863388291964679,0.9234464465390394,0.8033301373903199,0.863388291964679,0.9234464465390394,0.8033301373903199,0.8633882919646795,0.06005815457435976,0.8633882919646795,0.8633882919646795
tu_available__TU0-6501[c],0.8633882919646783,0.9234464465390402,0.8033301373903198,0.8633882919646783,0.9234464465390402,0.8033301373903198,0.8633882919646795,0.0600581545743602,0.8633882919646795,0.8633882919646795
tu_available__TU0-6482[c],0.8633882919646789,0.9234464465390397,0.8033301373903196,0.8633882919646789,0.9234464465390397,0.8033301373903196,0.8633882919646795,0.06005815457436009,0.8633882919646795,0.8633882919646795
tu_available__TU00008[c],0.8633882919646789,0.9234464465390394,0.8033301373903199,0.8633882919646789,0.9234464465390394,0.8033301373903199,0.8633882919646795,0.06005815457435976,0.8633882919646795,0.8633882919646795
tu_available__TU00056[c],0.8633882919646788,0.923446446539039,0.8033301373903206,0.8633882919646788,0.923446446539039,0.8033301373903206,0.8633882919646795,0.0600581545743592,0.8633882919646795,0.8633882919646795
tu_available__TU0-198747[c],0.8633882919646791,0.9234464465390393,0.8033301373903199,0.8633882919646791,0.9234464465390393,0.8033301373903199,0.8633882919646795,0.0600581545743597,0.8633882919646795,0.8633882919646795
tu_available__TU00256[c],0.8633882919646793,0.9234464465390395,0.8033301373903194,0.8633882919646793,0.9234464465390395,0.8033301373903194,0.8633882919646795,0.060058154574360034,0.8633882919646795,0.8633882919646795
tu_available__TU0-7281[c],0.8633882919646796,0.9234464465390391,0.8033301373903193,0.8633882919646796,0.9234464465390391,0.8033301373903193,0.8633882919646793,0.06005815457435987,0.8633882919646793,0.8633882919646793
tu_available__TU00185[c],0.8633882919646791,0.9234464465390391,0.8033301373903198,0.8633882919646791,0.9234464465390391,0.8033301373903198,0.8633882919646793,0.060058154574359646,0.8633882919646793,0.8633882919646793
tu_available__TU0-8472[c],0.8633882919646791,0.9234464465390391,0.8033301373903197,0.8633882919646791,0.9234464465390391,0.8033301373903197,0.8633882919646793,0.0600581545743597,0.8633882919646793,0.8633882919646793
tu_available__TU361[c],0.8633882919646796,0.9234464465390388,0.8033301373903194,0.8633882919646796,0.9234464465390388,0.8033301373903194,0.8633882919646793,0.0600581545743597,0.8633882919646793,0.8633882919646793
tu_available__TU0-5501[c],0.8633882919646786,0.9234464465390394,0.8033301373903199,0.8633882919646786,0.9234464465390394,0.8033301373903199,0.8633882919646793,0.06005815457435976,0.8633882919646793,0.8633882919646793
tu_available__TU0-6506[c],0.8633882919646797,0.9234464465390388,0.8033301373903192,0.8633882919646797,0.9234464465390388,0.8033301373903192,0.8633882919646793,0.06005815457435981,0.8633882919646793,0.8633882919646793
tu_available__TU00337[c],0.8633882919646791,0.9234464465390391,0.8033301373903197,0.8633882919646791,0.9234464465390391,0.8033301373903197,0.8633882919646793,0.0600581545743597,0.8633882919646793,0.8633882919646793
tu_available__TU00340[c],0.8633882919646787,0.9234464465390395,0.8033301373903196,0.8633882919646787,0.9234464465390395,0.8033301373903196,0.8633882919646793,0.06005815457435998,0.8633882919646793,0.8633882919646793
tu_available__TU00094[c],0.8633882919646787,0.9234464465390393,0.8033301373903197,0.8633882919646787,0.9234464465390393,0.8033301373903197,0.8633882919646793,0.06005815457435981,0.8633882919646793,0.8633882919646793
tu_available__TU0-8492[c],0.8633882919646794,0.9234464465390388,0.8033301373903194,0.8633882919646794,0.9234464465390388,0.8033301373903194,0.8633882919646793,0.0600581545743597,0.8633882919646793,0.8633882919646793
tu_available__TU00057[c],0.8633882919646791,0.9234464465390393,0.8033301373903192,0.8633882919646791,0.9234464465390393,0.8033301373903192,0.8633882919646793,0.060058154574360034,0.8633882919646793,0.8633882919646793
tu_available__TU0-42478[c],0.863388291964678,0.9234464465390395,0.8033301373903192,0.863388291964678,0.9234464465390395,0.8033301373903192,0.863388291964679,0.060058154574360145,0.863388291964679,0.863388291964679
tu_available__TU00352[c],0.86338829196468,0.9234464465390384,0.8033301373903188,0.86338829196468,0.9234464465390384,0.8033301373903188,0.863388291964679,0.06005815457435981,0.863388291964679,0.863388291964679
tu_available__TU00082[c],0.863388291964679,0.9234464465390391,0.8033301373903192,0.863388291964679,0.9234464465390391,0.8033301373903192,0.863388291964679,0.06005815457435992,0.863388291964679,0.863388291964679
tu_available__TU0-6886[c],0.8633882919646788,0.9234464465390392,0.803330137390319,0.8633882919646788,0.9234464465390392,0.803330137390319,0.863388291964679,0.06005815457436009,0.863388291964679,0.863388291964679
