tu,ridge_full,ridge_A_train,ridge_B_train,enet_full,enet_A_train,enet_B_train,abs_ridge_full,abs_ridge_A_train,abs_ridge_B_train,abs_enet_full,abs_enet_A_train,abs_enet_B_train,ridge_mean,ridge_std,enet_mean,enet_std,ridge_score,enet_score
tu_available__TU0-8492[c],0.693373050995171,0.6424292226756585,0.6536663812733531,0.7700613499051648,0.0,0.0,0.693373050995171,0.6424292226756585,0.6536663812733531,0.7700613499051648,0.0,0.0,0.6631562183147275,0.026764924178220132,0.25668711663505495,0.44459512766027354,0.6631562183147275,0.25668711663505495
tu_available__TU00008[c],0.6933730509951713,0.6424292226756583,0.6536663812733524,0.7700623610567284,0.0,0.0,0.6933730509951713,0.6424292226756583,0.6536663812733524,0.7700623610567284,0.0,0.0,0.6631562183147274,0.026764924178220524,0.25668745368557616,0.4445957114489009,0.6631562183147274,0.25668745368557616
tu_available__TU00061[c],0.6933730509951721,0.6424292226756578,0.6536663812733523,0.7700632573273292,0.0,0.0,0.6933730509951721,0.6424292226756578,0.6536663812733523,0.7700632573273292,0.0,0.0,0.6631562183147274,0.026764924178221156,0.2566877524424431,0.4445962289109735,0.6631562183147274,0.2566877524424431
tu_available__TU00057[c],0.6933730509951723,0.6424292226756577,0.6536663812733519,0.7700630540428848,0.0,0.0,0.6933730509951723,0.6424292226756577,0.6536663812733519,0.7700630540428848,0.0,0.0,0.6631562183147274,0.026764924178221402,0.2566876846809616,0.44459611154464485,0.6631562183147274,0.2566876846809616
tu_available__TU0-8493[c],0.6933730509951707,0.6424292226756587,0.6536663812733529,0.7700614237572719,0.0,0.0,0.6933730509951707,0.6424292226756587,0.6536663812733529,0.7700614237572719,0.0,0.0,0.6631562183147274,0.0267649241782199,0.256687141252424,0.4445951702988074,0.6631562183147274,0.256687141252424
tu_available__TU00060[c],0.6933730509951718,0.6424292226756577,0.6536663812733524,0.7700631897991139,0.0,0.0,0.6933730509951718,0.6424292226756577,0.6536663812733524,0.7700631897991139,0.0,0.0,0.6631562183147274,0.02676492417822099,0.25668772993303796,0.44459618992354033,0.6631562183147274,0.25668772993303796
tu_available__TU00281[c],0.693373050995174,0.6424292226756569,0.6536663812733509,0.7700651173668778,0.0,0.0,0.693373050995174,0.6424292226756569,0.6536663812733509,0.7700651173668778,0.0,0.0,0.6631562183147274,0.02676492417822282,0.2566883724556259,0.4445973028053077,0.6631562183147274,0.2566883724556259
tu_available__TU00094[c],0.6933730509951722,0.6424292226756577,0.6536663812733519,0.7700637233450273,0.0,0.0,0.6933730509951722,0.6424292226756577,0.6536663812733519,0.7700637233450273,0.0,0.0,0.6631562183147273,0.02676492417822134,0.2566879077816758,0.444596497966417,0.6631562183147273,0.2566879077816758
tu_available__TU00082[c],0.6933730509951718,0.6424292226756579,0.6536663812733521,0.7700635249015664,0.0,0.0,0.6933730509951718,0.6424292226756579,0.6536663812733521,0.7700635249015664,0.0,0.0,0.6631562183147273,0.026764924178220965,0.25668784163385544,0.4445963833950315,0.6631562183147273,0.25668784163385544
tu_available__TU00192[c],0.6933730509951732,0.642429222675657,0.6536663812733512,0.7700646227684741,0.0,0.0,0.6933730509951732,0.642429222675657,0.6536663812733512,0.7700646227684741,0.0,0.0,0.6631562183147272,0.02676492417822228,0.25668820758949135,0.4445970172487862,0.6631562183147272,0.25668820758949135
