Gene ID (EcoCyc)	Category
EG10882	Ribosome assembly
EG10883	Ribosome assembly
EG10884	Ribosome assembly
EG10885	Ribosome assembly
EG50002	Ribosome assembly
EG10886	Ribosome assembly
EG10887	Ribosome assembly
EG10888	Ribosome assembly
EG10889	Ribosome assembly
EG10890	Ribosome assembly
EG10891	Ribosome assembly
EG10892	Ribosome assembly
EG11231	Ribosome assembly
EG11232	Ribosome assembly
EG10893	Transcription
EG10894	Transcription
EG10895	Transcription
EG10900	Ribosome assembly
EG10901	Ribosome assembly
EG10902	Ribosome assembly
EG10903	Ribosome assembly
EG10904	Ribosome assembly
EG10905	Ribosome assembly
EG10906	Ribosome assembly
EG10907	Ribosome assembly
EG10908	Ribosome assembly
EG10909	Ribosome assembly
EG10910	Ribosome assembly
EG10911	Ribosome assembly
EG10912	Ribosome assembly
EG10913	Ribosome assembly
EG10914	Ribosome assembly
EG10915	Ribosome assembly
EG10916	Ribosome assembly
EG10917	Ribosome assembly
EG10918	Ribosome assembly
EG10919	Ribosome assembly
EG10920	Ribosome assembly
G6517	Metabolism
EG10928	Microcin transporter
G7516	Metabolism
EG10946	Metabolism
EG10947	tRNA synthetase
EG12286	Unclear/under-characterized
EG11663	Protein maturation chaperone
G6842	Metabolism
EG11508	Unclear/under-characterized
EG11428	Metabolism
EG10980	Metabolism
EG10982	Metabolism
EG11556	Metabolism
G6234	Metabolism
EG10999	Metabolism
EG11000	Metabolism
EG11001	tRNA synthetase
EG11002	Metabolism
G6096	tRNA modification
EG12302	Uncategorized
EG11005	Metabolism
EG11008	Cell structure membrane
EG12245	Metabolism
EG11024	Metabolism
EG11026	Metabolism
EG11027	Metabolism
EG11028	Metabolism
EG11029	Transcription regulation
EG11030	tRNA synthetase
G7449	tRNA modification
EG11032	Metabolism
EG11169	Metabolism
EG11039	Metabolism
EG11040	Metabolism
EG11041	Metabolism
EG11043	tRNA synthetase
G7507	Unknown function
EG11333	Unknown function
EG11050	Metabolism
G7858	Metabolism
G7859	Metabolism
G7860	Metabolism
EG10634	Metabolism
EG20248	Metabolism
EG11067	tRNA synthetase
EG10520	Metabolism
EG11351	Metabolism
G7501	Metabolism
G7486	Metabolism
EG11074	Metabolism
EG11075	Metabolism
G6269	Unknown function
EG12384	Uncategorized
G6442	Unknown function
G6468	Unclear/under-characterized
EG11121	Metabolism
G6701	Metabolism
EG12713	Uncategorized
EG12026	Metabolism
EG12040	Microcin transporter
G7158	Metabolism
G7185	Metabolism
G7406	Metabolism
G7647	Stress response
EG12293	Unknown function
EG11470	Metabolism
EG11850	Metabolism
G7833	Unknown function
G7911	Unknown function
G6437	Metabolism
G7742	Unclear/under-characterized
EG11221	Metabolism
