Gene,RNA ID,Monomer ID,Process,Essentiality
atpG,EG10104_RNA,ATPG-MONOMER,Metabolism,1
atpH,EG10105_RNA,ATPH-MONOMER,Metabolism,1
avtA,EG10107_RNA,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,Metabolism,0
azoR,G6731_RNA,G6731-MONOMER,Metabolism,0
baeR,EG11618_RNA,BAER-MONOMER,Transcription Regulation,0
basR,EG11615_RNA,BASR-MONOMER,Transcription Regulation,0
betA,EG10109_RNA,CHD-MONOMER,Metabolism,0
betB,EG10110_RNA,BADH-MONOMER,Metabolism,0
betT,EG10112_RNA,BETT-MONOMER,Metabolism,0
bglF,EG10115_RNA,BGLF-MONOMER,Metabolism,0
bglJ,G7948_RNA,G7948-MONOMER,Transcription Regulation,0
bioA,EG10117_RNA,DAPASYN-MONOMER,Metabolism,0
bioB,EG10118_RNA,BIOTIN-SYN-MONOMER,Metabolism,0
bioC,EG10119_RNA,EG10119-MONOMER,Metabolism,0
bioD,EG10120_RNA,DETHIOBIOTIN-SYN-MONOMER,Metabolism,0
bioF,EG10121_RNA,7KAPSYN-MONOMER,Metabolism,0
bioH,EG10122_RNA,EG10122-MONOMER,Metabolism,0
birA,EG10123_RNA,BIOTINLIG-MONOMER,Metabolism,0
bisC,EG10124_RNA,EG10124-MONOMER,Metabolism,0
brnQ,EG12168_RNA,BRNQ-MONOMER,Metabolism,0
btuE,EG10129_RNA,BTUE-MONOMER,Metabolism,0
cadA,EG10131_RNA,LYSDECARBOX-MONOMER,Metabolism,0
cadB,EG10132_RNA,CADB-MONOMER,Metabolism,0
can,EG12319_RNA,EG12319-MONOMER,Metabolism,0
carA,EG10134_RNA,CARBPSYN-SMALL,Metabolism,1
carB,EG10135_RNA,CARBPSYN-LARGE,Metabolism,1
cdd,EG10137_RNA,CYTIDEAM-MONOMER,Metabolism,0
cdh,EG10138_RNA,CDPDIGLYPYPHOSPHA-MONOMER,Metabolism,0
cdsA,EG10139_RNA,CDPDIGLYSYN-MONOMER,Metabolism,0
chaA,EG11753_RNA,CHAA-MONOMER,Metabolism,0
cheR,EG10148_RNA,CHER-MONOMER,Metabolism,0
citC,G6344_RNA,CITC-MONOMER,Metabolism,0
clcA,EG12331_RNA,YADQ-MONOMER,Metabolism,0
clsA,EG11608_RNA,CARDIOLIPSYN-MONOMER,Metabolism,0
clsB,G6406_RNA,G6406-MONOMER,Metabolism,0
clsC,G6551_RNA,G6551-MONOMER,Metabolism,0
cmk,EG11265_RNA,CMPKI-MONOMER,Metabolism,0
coaA,EG10922_RNA,PANTOTHENATE-KIN-MONOMER,Metabolism,0
coaD,EG11190_RNA,PANTEPADENYLYLTRAN-MONOMER,Metabolism,0
coaE,EG12312_RNA,EG12312-MONOMER,Metabolism,0
codA,EG11326_RNA,CYTDEAM-MONOMER,Metabolism,0
cof,G6246_RNA,G6246-MONOMER,Metabolism,0
copA,G6260_RNA,G6260-MONOMER,Metabolism,0
corA,EG11463_RNA,CORA-MONOMER,Metabolism,0
cpdA,G7579_RNA,G7579-MONOMER,Metabolism,0
cpsB,EG10161_RNA,MANNPGUANYLTRANGDP-MONOMER,Metabolism,0
cpsG,EG10162_RNA,PHOSMANMUT-MONOMER,Metabolism,0
crp,EG10164_RNA,PD00257,Transcription Regulation,0
crr,EG10165_RNA,CRR-MONOMER,Metabolism,0
csdA,G7454_RNA,G7454-MONOMER,Metabolism,0
cueO,EG12318_RNA,EG12318-MONOMER,Metabolism,0
cyaA,EG10170_RNA,ADENYLATECYC-MONOMER,Metabolism,0
cycA,EG12504_RNA,CYCA-MONOMER,Metabolism,0
cydA,EG10173_RNA,CYDA-MONOMER,Metabolism,0
cydB,EG10174_RNA,CYDB-MONOMER,Metabolism,0
cydC,EG10012_RNA,CYDC-MONOMER,Metabolism,0
cydD,EG11405_RNA,CYDD-MONOMER,Metabolism,0
cynT,EG10176_RNA,CARBODEHYDRAT-MONOMER,Metabolism,0
cyoA,EG10178_RNA,CYOA-MONOMER,Metabolism,0
cyoB,EG10179_RNA,CYOB-MONOMER,Metabolism,0
cyoC,EG10180_RNA,CYOC-MONOMER,Metabolism,0
cyoD,EG10181_RNA,CYOD-MONOMER,Metabolism,0
cyoE,EG10182_RNA,HEMEOSYN-MONOMER,Metabolism,0
cysA,EG10183_RNA,CYSA-MONOMER,Metabolism,1
cysC,EG10185_RNA,ADENYLYLSULFKIN-MONOMER,Metabolism,1
cysD,EG10186_RNA,CYSD-MONOMER,Metabolism,1
cysE,EG10187_RNA,SERINE-O-ACETTRAN-MONOMER,Metabolism,1
cysG,EG10188_RNA,SIROHEMESYN-MONOMER,Metabolism,0
cysH,EG10189_RNA,PAPSSULFOTRANS-MONOMER,Metabolism,1
cysI,EG10190_RNA,BETACOMP-MONOMER,Metabolism,1
cysJ,EG10191_RNA,ALPHACOMP-MONOMER,Metabolism,1
cysK,EG10192_RNA,ACSERLYA-MONOMER,Metabolism,0
cysM,EG10193_RNA,ACSERLYB-MONOMER,Metabolism,0
cysN,EG10194_RNA,CYSN-MONOMER,Metabolism,1
cysP,EG10195_RNA,CYSP-MONOMER,Metabolism,0
cysQ,EG10043_RNA,EG10043-MONOMER,Metabolism,1
cysS,EG10196_RNA,CYSS-MONOMER,Metabolism,1
cysU,EG10197_RNA,CYST-MONOMER,Metabolism,1
cysW,EG10198_RNA,CYSW-MONOMER,Metabolism,1
cytR,EG10200_RNA,PD04028,Transcription Regulation,0
dadA,EG11407_RNA,DALADEHYDROGA-MONOMER,Metabolism,0
dadX,EG11408_RNA,ALARACECAT-MONOMER,Metabolism,0
dapA,EG10205_RNA,DIHYDRODIPICSYN-MONOMER,Metabolism,1
dapB,EG10206_RNA,DIHYDROPICRED-MONOMER,Metabolism,1
dapD,EG10207_RNA,MONOMER0-2001,Metabolism,1
dapE,EG10208_RNA,MONOMER0-1981,Metabolism,1
dapF,EG10209_RNA,DIAMINOPIMEPIM-MONOMER,Metabolism,1
dauA,EG12392_RNA,YCHM-MONOMER,Metabolism,0
dcd,EG11418_RNA,DCTP-DEAM-MONOMER,Metabolism,0
dctA,EG20044_RNA,DCTA-MONOMER,Metabolism,0
dcuA,EG11225_RNA,DCUA-MONOMER,Metabolism,0
dcuB,EG10006_RNA,DCUB-MONOMER,Metabolism,0
dcuR,G7826_RNA,DCUR-MONOMER,Transcription Regulation,0
dcyD,G7038_RNA,DCYSDESULF-MONOMER,Metabolism,0
ddlA,EG10213_RNA,DALADALALIGA-MONOMER,Metabolism,0
ddlB,EG10214_RNA,DALADALALIGB-MONOMER,Metabolism,0
ddpX,G6782_RNA,G6782-MONOMER,Metabolism,0
def,EG11440_RNA,EG11440-MONOMER,Metabolism,0
deoA,EG10219_RNA,DEOA-MONOMER,Metabolism,0
deoB,EG10220_RNA,PPENTOMUT-MONOMER,Metabolism,0
deoC,EG10221_RNA,DEOXYRIBOSE-P-ALD-MONOMER,Metabolism,0
deoD,EG10222_RNA,DEOD-MONOMER,Metabolism,0
dfp,EG10004_RNA,EG10004-MONOMER,Metabolism,0
dgkA,EG10224_RNA,DIACYLGLYKIN-MONOMER,Metabolism,0
dgoA,EG20049_RNA,DEHYDDEOXPHOSGALACT-ALDOL-MONOMER,Metabolism,0
dgt,EG10225_RNA,DGTPTRIPHYDRO-MONOMER,Metabolism,0
dhaK,G6627_RNA,G6627-MONOMER,Metabolism,0
dhaL,G6626_RNA,MONOMER0-1261,Metabolism,0
dhaM,EG12399_RNA,EG12399-MONOMER,Metabolism,0
dkgA,G7565_RNA,MONOMER0-148,Metabolism,0
dkgB,EG11648_RNA,MONOMER0-149,Metabolism,0
dld,EG10231_RNA,DLACTDEHYDROGFAD-MONOMER,Metabolism,0
dmlA,G6986_RNA,G6986-MONOMER,Metabolism,0
dmsA,EG10232_RNA,DMSA-MONOMER,Metabolism,0
dmsB,EG10233_RNA,DMSB-MONOMER,Metabolism,0
dmsC,EG10234_RNA,DMSC-MONOMER,Metabolism,0
dnaA,EG10235_RNA,PD03831,Transcription Regulation,0
dppA,EG10248_RNA,DPPA-MONOMER,Metabolism,0
dppB,EG12625_RNA,DPPB-MONOMER,Metabolism,0
dppC,EG12626_RNA,DPPC-MONOMER,Metabolism,0
dppD,EG12627_RNA,DPPD-MONOMER,Metabolism,0
dppF,EG12628_RNA,DPPF-MONOMER,Metabolism,0
dsdA,EG10249_RNA,DSERDEAM-MONOMER,Metabolism,0
dtpB,EG12232_RNA,YHIP-MONOMER,Metabolism,0
