operon_ids,num_operons,num_tus,tu_ids
1880,1,1,TU0-8101[c]
1755,1,1,TU0-5061[c]
1633,1,1,TU0-42461[c]
2301,1,1,TU00112[c]
304,1,1,TU0-13078[c]
2321,1,1,TU00144[c]
1483,1,1,TU0-14819[c]
1649,1,1,TU0-42509[c]
2300,1,1,TU00111[c]
1809,1,6,TU0-6512[c];TU0-7002[c];TU0-8464[c];TU00335[c];rplJL[c];rplKAJL[c]
2443,1,1,TU00455[c]
1236,1,1,TU0-14176[c]
1777,1,1,TU0-5961[c]
1123,1,1,TU0-14042[c]
1794,1,1,TU0-6441[c]
2291,1,1,TU00090[c]
1033,1,1,TU0-13935[c]
1369,1,3,TU0-14415[c];TU0-3581[c];argT-hisJ[c]
39,1,1,TU0-1021[c]
1397,1,2,TU0-14500[c];TU00373[c]
1793,1,1,TU0-6425[c]
2279,1,1,TU00058[c]
1474,1,2,TU0-14787[c];TU00219[c]
1835,1,2,TU0-6884[c];TU00109[c]
839,1,1,TU0-13713[c]
196,1,1,TU0-12947[c]
1378,1,2,TU0-14431[c];TU0-8347[c]
1751,1,1,TU0-4929[c]
2298,1,1,TU00106[c]
1877,1,1,TU0-7842[c]
1346,1,1,TU0-14356[c]
244,1,2,TU0-13010[c];leuS-lptE[c]
477,1,1,TU0-13286[c]
1790,1,1,TU0-6409[c]
1521,1,2,TU0-198714[c];TU0-198879[c]
86,1,1,TU0-12812[c]
2186,1,1,TU0-8773[c]
439,1,3,TU0-13240[c];TU0-41760[c];TU0-8699[c]
42,1,1,TU0-1063[c]
1243,1,1,TU0-14192[c]
2258,1,1,TU00008[c]
2476,1,1,TU102[c]
2349,1,1,TU00192[c]
2281,1,1,TU00060[c]
1791,1,1,TU0-6422[c]
2304,1,1,TU00116[c]
2297,1,1,TU00101[c]
1652,1,2,TU0-42515[c];TU0-4802[c]
1734,1,2,TU0-45265[c];TU00461[c]
175,1,4,TU0-12921[c];TU0-14466[c];nusB[c];ribE-nusB[c]
2201,1,1,TU0-8793[c]
