project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,max_growth_rate,initial_dry_mass,final_dry_mass,max_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used
gene_knockout_metabolic1,8,KO: EG10084,0.00022311380082787744,0.00022395575030354224,2.5112439777273323e-05,0.00033202046605306564,379.9413316141827,663.0149564732637,696.5136288956335,1.7450456196919701,24134.0,1211,8
gene_knockout_metabolic1,9,KO: EG10085,0.00021795236273590985,0.00021218693942265756,4.8663278206134784e-05,0.0005797684092606663,379.9248279907149,566.0059221117872,762.6633114257611,1.4897839793866274,23840.0,1197,8
gene_knockout_metabolic1,10,KO: EG10107,0.00020845690151673343,0.00020051951869824687,5.9063708823803445e-05,0.0006155810901866423,379.8795585221235,513.5939908075995,809.1410442114841,1.3519916491576336,24607.0,1234,8
gene_knockout_metabolic1,11,KO: EG10108,0.00025259007440062403,0.0002537719933049277,4.689223462753157e-05,0.0006122778703621917,380.0046688455643,625.5425552794304,820.780548300711,1.6461443939091545,20978.0,1054,8
gene_knockout_metabolic1,12,KO: EG10112,0.00021488637982959853,0.0002129134755217202,3.5145074053217154e-05,0.0003268438898886714,380.01867064879366,561.8419326921082,739.5413610485471,1.478458760283787,24252.0,1217,8
gene_knockout_metabolic1,13,KO: EG10122,0.00023487456385368883,0.00022807780958601062,4.0495552050752704e-05,0.00034351710747963126,379.9601610392789,760.846041857797,788.0180253781953,2.002436360108668,23359.0,1172,8
gene_knockout_metabolic1,14,KO: EG10124,0.00022387338272031202,0.0002219508982007971,3.3798870687547306e-05,0.0005952583329914084,379.9624214847852,664.0625213352082,709.9136344253184,1.7477057829567475,24081.0,1208,8
gene_knockout_metabolic1,15,KO: EG10129,0.00022936684938737025,0.00023125002292885338,2.889424483626273e-05,0.0003069735087017724,379.9471740719747,626.2996614246688,731.9596658647565,1.6483861551396266,23027.0,1156,8
gene_knockout_metabolic1,16,KO: EG10138,0.00022366160375610213,0.00023124563837909154,3.401918746774206e-05,0.00030641719921859937,379.9491815529042,563.3219570501803,705.2186880991685,1.4826244782204994,23310.0,1169,8
gene_knockout_metabolic1,17,KO: EG10160,0.0002300164713181357,0.00023003298353646486,3.127897385094226e-05,0.00035983008058868064,379.95458609757657,636.6634481613264,758.4689301604151,1.6756303817789007,23044.0,1157,8
gene_knockout_metabolic1,18,KO: EG10167,0.00024265428072354028,0.00024209260358051116,2.883482607508324e-05,0.0003053613716732518,380.0046490148935,758.0057374370651,758.0057374370651,1.9947275366290496,22709.0,1140,8
gene_knockout_metabolic1,19,KO: EG10170,0.0002479777996637333,0.00024731950663418797,3.470326758232103e-05,0.0003774789914189146,379.91296229360387,820.6536836532284,820.6536836532284,2.160109722760688,22499.0,1129,8
gene_knockout_metabolic1,20,KO: EG10172,0.00023662330097841126,0.00023373790834209038,4.670416384758867e-05,0.0005860484506916721,380.00703558226746,630.1108833195638,760.7761643295003,1.658155834809936,22458.0,1128,8
gene_knockout_non_metabolic1,1,KO: EG10001,0.0002205218037555805,0.00021956241380978057,2.7937256684729353e-05,0.0003178232575652479,379.89713408537375,615.5329293524701,724.5982990604773,1.6202621028832038,23981.0,1203,8
gene_knockout_non_metabolic1,2,KO: EG10004,0.00023615352994754953,0.00023422876963287014,4.423592771274819e-05,0.0005999634797726397,379.890034588455,688.7736387633345,735.3894046527496,1.813086883180553,22892.0,1148,8
gene_knockout_non_metabolic1,3,KO: EG10011,0.00024362926101887674,0.0002543268558826822,3.249914384468422e-05,0.000296286791537851,379.8995630706171,630.8246256318339,762.9126266763985,1.660503688219757,21886.0,1098,8
